,no,sticky,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,sticky_cap,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,21327588,1.0,12/08/22(Thu)22:42:21,Anonymous,ARMOED CORE VI: FIRES OF RUBICON,REAL,file,.png,893,496,250,138,1670557341405200,1670557341,tVhWuNcSAmK88PqF6NeV5Q==,565668,0,armoed-core-vi-fires-of-rubicon,1000.0,4,1000,146,999.0,146.0,"[{'no': 21331613, 'now': '12/09/22(Fri)20:47:26', 'name': 'Anonymous', 'com': '<a href=""#p21331600"" class=""quotelink"">&gt;&gt;21331600</a><br>Man I hope we get some missions in space', 'time': 1670636846, 'resto': 21327588}]",1670636846,,,
1,21320272,,12/05/22(Mon)06:14:00,Anonymous,,"Pretty much all of the shows beforehand are great, but CCA was seriously something else.<br>Is anything else in the UC canon this good?",CB4BDC88-F324-4A83-889E-2CFC3787B369,.jpg,600,338,250,140,1670238840436828,1670238840,Mc04hM9zsMeOU3LdQFoXLQ==,47854,0,pretty-much-all-of-the-shows-beforehand-are-great,,4,45,8,40.0,7.0,"[{'no': 21329868, 'now': '12/09/22(Fri)11:00:18', 'name': 'Anonymous', 'com': '<a href=""#p21320378"" class=""quotelink"">&gt;&gt;21320378</a><br>Mot', 'time': 1670601618, 'resto': 21320272}, {'no': 21329902, 'now': '12/09/22(Fri)11:17:21', 'name': 'Anonymous', 'com': '<a href=""#p21328784"" class=""quotelink"">&gt;&gt;21328784</a><br>Those are not mutually exclusive.', 'time': 1670602641, 'resto': 21320272}, {'no': 21329936, 'now': '12/09/22(Fri)11:41:12', 'name': 'Anonymous', 'com': '<a href=""#p21320499"" class=""quotelink"">&gt;&gt;21320499</a><br>The Nu is dull and the Sazabi is goddamn ugly and basically fuck anyone who likes it.', 'time': 1670604072, 'resto': 21320272}, {'no': 21329945, 'now': '12/09/22(Fri)11:48:44', 'name': 'Anonymous', 'com': '<a href=""#p21329936"" class=""quotelink"">&gt;&gt;21329936</a><br>Sazabi is a nice thicc lady. Don&#039;t know why Zabi is in the name though.', 'filename': '1662374222242359', 'ext': '.jpg', 'w': 1100, 'h': 1575, 'tn_w': 87, 'tn_h': 125, 'tim': 1670604524425573, 'time': 1670604524, 'md5': 'DYpISuxXoB2qtpzUBds4fw==', 'fsize': 363515, 'resto': 21320272}, {'no': 21331614, 'now': '12/09/22(Fri)20:47:44', 'name': 'Anonymous', 'com': '<a href=""#p21320378"" class=""quotelink"">&gt;&gt;21320378</a><br>0083 is one of my favorites in terms of the male cast, soundtracks, animation, and mech designs. The story starts off pretty strong imo, but jesus fucking christ I hate nina and kou&#039;s relationship and the surprise!!! gato was her ex. FUCK. Also I much preferred the manga having Burning die to Kelly instead of the freakout malfunction in his suit, so there was some consequence for Kou helping a fucking enemy pilot. I really liked the downer ending and Synapse getting executed, of all the people. Also fuck nina and kou reuniting, also bullshit.', 'time': 1670636864, 'resto': 21320272}]",1670636864,0.0,0.0,
2,21331128,,12/09/22(Fri)18:28:21,Anonymous,/acg/ - Armored Core General,"<s>WE&#039;RE BACK</s> edition.<br><br>AC6 IS COMING TO PC; SOMEONE PINCH ME I&#039;M DREAMING<br><br><span class=""quote"">&gt;Website</span><br>https://www.armoredcore.net/<br><span class=""quote"">&gt;Teaser Trailer :</span><br>https://www.youtube.com/watch?v=YRy<wbr>Rv0bwH2o<br><span class=""quote"">&gt;Steam Page:</span><br>https://store.steampowered.com/app/<wbr>1888160/ARMORED_CORE_VI_FIRES_OF_RU<wbr>BICON/<br><span class=""quote"">&gt;Development Team</span><br>Hidetaka Miyazaki will be involved as the Initial Game Director. Based on the initial development, Masaru Yamamura has taken over as Director. <br><br>Other News:<br><span class=""quote"">&gt;HLJ has stopped taking pre-orders for Kotobukya&#039;s &#039;DECOCTION MODELS Rayleonard 03-AALIYAH Supplice&#039;—get in elsewhere while you still can!</span><br>https://www.hlj.com/decoction-model<wbr>s-rayleonard-03-aaliyah-supplice-kb<wbr>ygg-001<br><span class=""quote"">&gt;Armored Core: Project Phantasma is appearing for the first time at a mainline GDQ event on January 9th, 2023. What&#039;s your best speedrun, Ravens?</span><br>https://twitter.com/pmcTRILOGY/stat<wbr>us/1600580079452569601",WEREBACK,.jpg,8000,4501,250,140,1670628501734521,1670628501,Gb93yLIf90t7+/+or5/+/Q==,2283839,0,acg-armored-core-general,,4,57,18,52.0,18.0,"[{'no': 21331597, 'now': '12/09/22(Fri)20:41:04', 'name': 'Anonymous', 'com': '<a href=""#p21331584"" class=""quotelink"">&gt;&gt;21331584</a><br>Give it the elden ring treatment and make everything retarded immediately, lmao', 'time': 1670636464, 'resto': 21331128}, {'no': 21331601, 'now': '12/09/22(Fri)20:42:30', 'name': 'Anonymous', 'com': '<a href=""#p21331597"" class=""quotelink"">&gt;&gt;21331597</a><br>lmao, i would not mind a war-crimes heavy Armored Core. I&#039;m sure you agree. If they let you get overtuned in the sense of not only speed, but firepower, armor, variety, cool tools. Youtubefags can make a bunch of epig build vids and then this armored core might be very popular.', 'time': 1670636550, 'resto': 21331128}, {'no': 21331606, 'now': '12/09/22(Fri)20:43:36', 'name': 'Anonymous', 'com': '<a href=""#p21331172"" class=""quotelink"">&gt;&gt;21331172</a><br>VD clan wars would be very welcome', 'time': 1670636616, 'resto': 21331128}, {'no': 21331607, 'now': '12/09/22(Fri)20:43:57', 'name': 'Anonymous', 'com': '<a href=""#p21331587"" class=""quotelink"">&gt;&gt;21331587</a><br><span class=""quote"">&gt;if the machinegun meme build is still viable</span><br>Meanwhile, <a href=""/m/thread/21296514#p21330357"" class=""quotelink"">&gt;&gt;21330357</a><br><span class=""quote"">&gt;in 2022</span><br>The new game releases in 2023, so yeah, it&#039;s still viable given we still have only the old ones to play.', 'time': 1670636637, 'resto': 21331128}, {'no': 21331611, 'now': '12/09/22(Fri)20:47:00', 'name': 'Anonymous', 'com': '<a href=""#p21331601"" class=""quotelink"">&gt;&gt;21331601</a><br>You&#039;re picking up what I&#039;m putting down, though I&#039;m fairly surprised that they&#039;re putting 6 on PC, knowing fromsoft that launch is going to absolutely suck ass which stinks', 'time': 1670636820, 'resto': 21331128}]",1670636820,0.0,0.0,
3,21270919,,11/11/22(Fri)12:29:07,Anonymous,,That feel when HG never,82ABEBCE-676F-4417-BCED-9C43E709B746,.jpg,3463,2309,250,166,1668187747345807,1668187747,xDwyo5fa1YKbntkxlFHkEg==,1073018,0,that-feel-when-hg-never,,4,236,140,231.0,135.0,"[{'no': 21330930, 'now': '12/09/22(Fri)17:15:15', 'name': 'Anonymous', 'filename': '13A264B6-2FD1-4D55-AA73-A003004A0ECB', 'ext': '.jpg', 'w': 1800, 'h': 3046, 'tn_w': 73, 'tn_h': 125, 'tim': 1670624115421822, 'time': 1670624115, 'md5': 'X7szvkg9HkbjSr+wcuyHYg==', 'fsize': 2375916, 'resto': 21270919}, {'no': 21331336, 'now': '12/09/22(Fri)19:19:20', 'name': 'Anonymous', 'com': 'I&#039;ll probably be dead by the time they release a HG...', 'filename': '32162644_p0', 'ext': '.jpg', 'w': 1600, 'h': 1200, 'tn_w': 125, 'tn_h': 93, 'tim': 1670631560398208, 'time': 1670631560, 'md5': 'H7sbDcuewVnkDk6SCK3SFA==', 'fsize': 561195, 'resto': 21270919}, {'no': 21331440, 'now': '12/09/22(Fri)19:53:08', 'name': 'Anonymous', 'filename': '82E8A045-2E9B-4B47-B63A-99928A10A5CE', 'ext': '.jpg', 'w': 431, 'h': 600, 'tn_w': 89, 'tn_h': 125, 'tim': 1670633588798693, 'time': 1670633588, 'md5': 'H8a97Q1WtI6bL4daWoAX3g==', 'fsize': 30467, 'resto': 21270919}, {'no': 21331456, 'now': '12/09/22(Fri)19:58:25', 'name': 'Anonymous', 'filename': 'E9239425-461B-4F22-9B81-A5C8F4628FD8', 'ext': '.png', 'w': 750, 'h': 800, 'tn_w': 117, 'tn_h': 125, 'tim': 1670633905605911, 'time': 1670633905, 'md5': 'iHMIwHLD3bDDJmM7FrORKw==', 'fsize': 222365, 'resto': 21270919}, {'no': 21331610, 'now': '12/09/22(Fri)20:46:35', 'name': 'Anonymous', 'com': '<a href=""#p21330909"" class=""quotelink"">&gt;&gt;21330909</a><br>YOOOOOOOOO', 'filename': 'img_item_nether_01', 'ext': '.jpg', 'w': 1440, 'h': 906, 'tn_w': 125, 'tn_h': 78, 'tim': 1670636795318815, 'time': 1670636795, 'md5': 'TbsB7o1Ai9q1LD48WgZ54A==', 'fsize': 155754, 'resto': 21270919}]",1670636795,0.0,0.0,
4,21331264,,12/09/22(Fri)19:02:56,Anonymous,,"If were a reality, would you support the rights and independence of full autonomous androids? Do you believe they should be regulated?",0d36e2cd9ff9421dc722e59e08a45007,.png,771,1000,192,250,1670630576068851,1670630576,9450+8Po24fXLnIWd8Btsg==,359048,0,if-were-a-reality-would-you-support-the-rights,,4,11,1,6.0,1.0,"[{'no': 21331402, 'now': '12/09/22(Fri)19:38:30', 'name': 'Anonymous', 'com': '<a href=""#p21331264"" class=""quotelink"">&gt;&gt;21331264</a><br><span class=""quote"">&gt;would you support the rights and independence of full autonomous androids</span><br>Yes.<br><span class=""quote"">&gt;Do you believe they should be regulated?</span><br>No.', 'time': 1670632710, 'resto': 21331264}, {'no': 21331409, 'now': '12/09/22(Fri)19:42:23', 'name': 'Anonymous', 'com': '<a href=""#p21331264"" class=""quotelink"">&gt;&gt;21331264</a><br>I want them to have boobs and penis and for them to subjugate me', 'time': 1670632943, 'resto': 21331264}, {'no': 21331578, 'now': '12/09/22(Fri)20:33:45', 'name': 'Anonymous', 'com': '<a href=""#p21331264"" class=""quotelink"">&gt;&gt;21331264</a><br>Yes and yes. I&#039;m not going to step on my fellow critters or what have you if they aren&#039;t trying to step on me, but such things should not be created by just anybody and if anything should be avoided.<br><br><a href=""#p21331321"" class=""quotelink"">&gt;&gt;21331321</a><br>This is one of the reasons I just can&#039;t take a lot of robot rebellion fiction seriously. Making a true robot made for painting walls hate painting walls is like making plants that hate sunlight, everything about it is counterintuitive and you need to jump through a lot of bullshit in order to get to the point where robots made for a job hate their job and as a result want to (irrationally) fight people for the sake of &quot;independence&quot; which will functionally mean nothing. However, people are programmed to be afraid of such things so such fiction remains both common and successful.', 'time': 1670636025, 'resto': 21331264}, {'no': 21331605, 'now': '12/09/22(Fri)20:43:22', 'name': 'Anonymous', 'com': 'I don&#039;t think AI will ever attain true sentience, but I do think opportunistic scumbags will claim they have it as a way to profit off sympathetic trusting people like what happened with Coco the gorilla.', 'time': 1670636602, 'resto': 21331264}, {'no': 21331609, 'now': '12/09/22(Fri)20:46:33', 'name': 'Anonymous', 'com': '<a href=""#p21331321"" class=""quotelink"">&gt;&gt;21331321</a><br><span class=""quote"">&gt;you should just program them to enjoy their job</span><br>The entire point is that AGI develops as a result of the singularity, a point of technological development that&#039;s out of human hands.', 'time': 1670636793, 'resto': 21331264}]",1670636793,0.0,0.0,
5,21316056,,12/03/22(Sat)06:15:26,Anonymous,/m78/ Ultraman General - Sayonara Ragon-sama Edition,"Official Sites:<br>https://en.tsuburaya-prod.co.jp<br>https://www.ultramanconnection.com<br>https://m-78.jp<br><br><span class=""quote"">&gt;YouTube OFFICIAL Channel:</span><br>https://www.youtube.com/user/tsubur<wbr>aya/<br><br><span class=""quote"">&gt;Official Ultraman Connection Discord</span><br>https://discord.com/invite/my9CTFpY<wbr>VV<br><br><span class=""quote"">&gt;Ultra Pastebin:</span><br>https://pastebin.com/ah9W9vPu<br><br><span class=""quote"">&gt;Ultraman Decker currently airing</span><br><span class=""quote"">&gt;Ultraman Regulos spin-off series in production</span><br><span class=""quote"">&gt;Trigger and Zero Figure-rise Standard kits available Nov and Dec respectively</span><br><span class=""quote"">&gt;Cosmos, Neos and Zearth released</span><br><span class=""quote"">&gt;Nexus + The Next, Max and Ultraman Kids listed for release in November and December</span><br><span class=""quote"">&gt;ULTRAMAN: FINAL announced for 2023</span><br><span class=""quote"">&gt;Ultraseven re-airing on YouTube</span><br><span class=""quote"">&gt;55th Anniversary Version S.H. Figuarts for Ultraseven and Pandon revealed</span><br><span class=""quote"">&gt;Ultraman Decker Figure-Rise Standard kit teased</span><br><span class=""quote"">&gt;TsuPro to make TDC available in the future according to Jeff Gomez</span><br><span class=""quote"">&gt;New Ultraman Suit Another Universe arc to be revealed in the December issue of Monthly Hobby Japan</span><br><span class=""quote"">&gt;Shin Ultraman will be available to stream on Amazon Prime starting November 18</span><br><span class=""quote"">&gt;Regulos spin-off to feature Magma Seijin army in the story</span><br><span class=""quote"">&gt;Big news for Decker to be announced on November 26&#039;s roundtable livestream event</span><br><span class=""quote"">&gt;SHFSS Dyna Flash Type &amp; SHF Shin Ultraman (first contact ver) official release revealed</span><br><span class=""quote"">&gt;Prototype SHF Trigger Power Type, Shin Mefilas, Absolute Diavolo, Ace Suit, Zoffy Suit, &amp; Jack Suit are being displayed on Tamashii Nation 2022</span><br><span class=""quote"">&gt;SHF Absolute Tartaros to start preorder December 1</span><br><span class=""quote"">&gt;Ultraman Decker TsubuIma special movie announced with February 2023 release date</span><br><br>Previous Thread: <a href=""/m/thread/21303237#p21303237"" class=""quotelink"">&gt;&gt;21303237</a>",1670066030612,.jpg,1912,1080,250,141,1670066126529189,1670066126,5DPfdxRw1x2/OzJYzi23pw==,316217,0,m78-ultraman-general-sayonara-ragonsama-edition,,4,204,42,199.0,42.0,"[{'no': 21331541, 'now': '12/09/22(Fri)20:21:49', 'name': 'Anonymous', 'com': '<a href=""#p21331535"" class=""quotelink"">&gt;&gt;21331535</a><br>Miracle would&#039;ve spaghettified Agams, which would&#039;ve been a relief, I&#039;m tired of them dragging out whatever &quot;truth&quot; there is because I know it&#039;s never going to justify his actions', 'time': 1670635309, 'resto': 21316056}, {'no': 21331542, 'now': '12/09/22(Fri)20:21:52', 'name': 'Anonymous', 'com': 'https://www.youtube.com/watch?v=fxq<wbr>_gr9Lz04', 'time': 1670635312, 'resto': 21316056}, {'no': 21331549, 'now': '12/09/22(Fri)20:23:34', 'name': 'Anonymous', 'com': '<a href=""#p21331511"" class=""quotelink"">&gt;&gt;21331511</a><br><a href=""#p21331516"" class=""quotelink"">&gt;&gt;21331516</a><br>Also showed a quick flash of decker on screen when he mentioned another Ultraman.', 'time': 1670635414, 'resto': 21316056}, {'no': 21331568, 'now': '12/09/22(Fri)20:31:29', 'name': 'Anonymous', 'com': '<a href=""#p21331465"" class=""quotelink"">&gt;&gt;21331465</a><br>I say at least Tiga&#039;s appearance in Trigger wasn&#039;t leaked despite everyone already knew Daigo won&#039;t appear.<br><br><a href=""#p21331511"" class=""quotelink"">&gt;&gt;21331511</a><br><a href=""#p21331549"" class=""quotelink"">&gt;&gt;21331549</a><br>The quick flash was for the audience, but Decker Asumi never showed Dyna photo to Kanata.', 'time': 1670635889, 'resto': 21316056}, {'no': 21331608, 'now': '12/09/22(Fri)20:45:12', 'name': 'Anonymous', 'com': '<a href=""#p21331535"" class=""quotelink"">&gt;&gt;21331535</a><br>Dyna has 1 type change rule, that&#039;s why you&#039;re not seeing him changing all 3 types.', 'time': 1670636712, 'resto': 21316056}]",1670636712,0.0,0.0,
6,21330838,,12/09/22(Fri)16:54:21,Anonymous,Quess Paraya (CCA),"She&#039;s great. She has daddy issues &amp; is just looking for some meaningful guidance. Pretty simple right? So why is she so hated &amp; misunderstood by everyone else who views cca? The main takeaways for her are always <br>A) She&#039;s annoying <br>B) i&#039;m glad she&#039;s dead now <br>Wow i vaguely remember fans decades ago used to find asuka annoying too, but it seems everyone has wise up &amp; learn to empathize with her. <br>I know having a sad back story really helps ppl understand a character more but i don&#039;t think its necessary for every character with a obnoxious personality to have one to be fully understood.",2816187-quess 12,.png,660,356,250,134,1670622861435712,1670622861,CYVTppWB0FaFsHofqfmFYQ==,414909,0,quess-paraya-cca,,4,37,10,32.0,9.0,"[{'no': 21331361, 'now': '12/09/22(Fri)19:24:52', 'name': 'Anonymous', 'com': '<a href=""#p21331049"" class=""quotelink"">&gt;&gt;21331049</a><br>I&#039;m reaching a bit, but I think Minerva Zabi&#039;s life was probably made a bit easier by Char&#039;s early involvement in it, like on Axis.', 'time': 1670631892, 'resto': 21330838}, {'no': 21331362, 'now': '12/09/22(Fri)19:25:28', 'name': 'Anonymous', 'com': '<a href=""#p21331269"" class=""quotelink"">&gt;&gt;21331269</a><br>And then he goes back to watching Sonic Adventures.', 'time': 1670631928, 'resto': 21330838}, {'no': 21331394, 'now': '12/09/22(Fri)19:36:10', 'name': 'Anonymous', 'com': '<a href=""#p21331361"" class=""quotelink"">&gt;&gt;21331361</a><br>When Char comes for Christmas he brings me two toys.', 'filename': 'mineva_lao_zabi_20659', 'ext': '.jpg', 'w': 546, 'h': 546, 'tn_w': 125, 'tn_h': 125, 'tim': 1670632570207938, 'time': 1670632570, 'md5': 'ESfYyLn1nFxgkNLGGZPk1w==', 'fsize': 47136, 'resto': 21330838}, {'no': 21331543, 'now': '12/09/22(Fri)20:22:09', 'name': 'Anonymous', 'com': '<a href=""#p21331079"" class=""quotelink"">&gt;&gt;21331079</a><br><span class=""quote"">&gt;yes let&#039;s resolve things with our feelings</span><br>lmfao<br>this user is NOT a newtype', 'time': 1670635329, 'resto': 21330838}, {'no': 21331604, 'now': '12/09/22(Fri)20:43:04', 'name': 'Anonymous', 'com': '<a href=""#p21330838"" class=""quotelink"">&gt;&gt;21330838</a><br>desu I don&#039;t like any of the characters in CCA aside from amuro and char, poor guy can&#039;t catch a break. I don&#039;t think they&#039;re bad characters, I just don&#039;t like &#039;em.', 'time': 1670636584, 'resto': 21330838}]",1670636584,0.0,0.0,
7,21329469,,12/09/22(Fri)07:43:26,Anonymous,Gunpla/Plamo General - /gpg/,"***READ THE GUIDE***<br><br>THE GUIDE: http://gunpla.buyfags.moe/<br><br>***READ THE GUIDE***<br><br>For those new to gunpla/plamo or even just new to this thread; please read the guide. Please read it before asking questions, as there is a chance it has already been answered there.<br><br>For those unfamiliar, &quot;plamo&quot; is a shortened form of &quot;plastic model&quot;. If it&#039;s made of plastic, someone can probably help you here!<br>If you&#039;re new, you&#039;re gonna fuck up. Don&#039;t worry! If you&#039;re experienced, don&#039;t make the new people worry!<br><br>And remember to report any shitposting and spam to keep the thread clean and civil.<br><br><span class=""quote"">&gt;Why won&#039;t anyone answer my question?</span><br>Try being specific, especially about your materials and process. Post images whenever possible; even if the kit/part looks bad, you are more likely to get help posting images.<br><br><span class=""quote"">&gt;Why are my pictures sideways?</span><br>4chan strips EXIF data from images when they&#039;re uploaded to the site from your phone, including the orientation display tag. To fix this, save your images separately, or use an app that will rotate and save the images for you.<br>One commonly used app that works well on Android:<br>https://play.google.com/store/apps/<wbr>details?id=com.simplemobilephotores<wbr>izer<br><br>Links:<br><span class=""quote"">&gt;A guide to other types of plamo:</span><br>http://www.mediafire.com/view/1vf1a<wbr>w7v91pz5pa/Airfix%20Model%20World%2<wbr>0Specia%20-By-Step<br><span class=""quote"">&gt;Kawaguchi gunpla tips:</span><br>https://www.youtube.com/playlist?li<wbr>st=PLJV1h9xQ7Hx-SoCOivVEHNDOl16VWLB<wbr>3A<br><span class=""quote"">&gt;Gundam lineart:</span><br>https://imgur.com/user/Gundaml1near<wbr>t/submitted<br><span class=""quote"">&gt;Funaka&#039;s gunpla guides:</span><br>Building Gunpla: https://files.catbox.moe/fj5azc.pdf<wbr><br>Scratchbuilding: https://files.catbox.moe/2d9ppa.pdf<wbr><br><span class=""quote"">&gt;Falldog&#039;s gunpla guide:</span><br>http://otakurevolution.com/content/<wbr>laymans-gunpla-guide<br><span class=""quote"">&gt;Saintism&#039;s gunpla photography guide:</span><br>https://www.saint-ism.com/category/<wbr>gunpla/photography/<br><br>Monthly restock:<br>(Temporarily discontinued by Bandai to discourage scalping)<br><br>Past Groupbuilds:<br>https://imgur.com/user/mechagroupbu<wbr>ild/posts<br><br>IRC:<br><span class=""quote"">&gt;Server/Channel</span><br>Rizon/#gunpla<br><br>Previous thread: <a href=""/m/thread/21322196#p21322196"" class=""quotelink"">&gt;&gt;21322196</a>",v2 slap chop grit complete,.png,1280,960,250,187,1670589806286802,1670589806,1epTLIVn2xmoR5Zxd5SHfQ==,1926885,0,gunplaplamo-general-gpg,,4,136,29,131.0,29.0,"[{'no': 21331527, 'now': '12/09/22(Fri)20:17:09', 'name': 'Anonymous', 'com': '<a href=""#p21331521"" class=""quotelink"">&gt;&gt;21331521</a><br>so can mr metal primer. it&#039;s not just for metal despite the name.<br>what makes gaia&#039;s better', 'time': 1670635029, 'resto': 21329469}, {'no': 21331571, 'now': '12/09/22(Fri)20:32:25', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;bang doll finally gets here from yapan</span><br><span class=""quote"">&gt;contents reek of cigarettes </span><br>loving these funny little Asians so much man', 'time': 1670635945, 'resto': 21329469}, {'no': 21331590, 'now': '12/09/22(Fri)20:38:14', 'name': 'Anonymous', 'com': '<a href=""#p21331571"" class=""quotelink"">&gt;&gt;21331571</a><br>Why would you get a used sex doll and why are you posting about it here?', 'time': 1670636294, 'resto': 21329469}, {'no': 21331594, 'now': '12/09/22(Fri)20:40:25', 'name': 'Anonymous', 'com': '<a href=""#p21331571"" class=""quotelink"">&gt;&gt;21331571</a><br><a href=""#p21331590"" class=""quotelink"">&gt;&gt;21331590</a><br>lmao', 'time': 1670636425, 'resto': 21329469}, {'no': 21331596, 'now': '12/09/22(Fri)20:41:00', 'name': 'Anonymous', 'com': '<a href=""#p21331590"" class=""quotelink"">&gt;&gt;21331590</a><br>it&#039;s got a mean urethra dilator on the top of it&#039;s head', 'time': 1670636460, 'resto': 21329469}]",1670636460,0.0,0.0,
8,21317736,,12/04/22(Sun)00:12:50,Anonymous,,What happened to Daitarns 1 and 2? <br>To Zambots 1 and 2 ?<br>The other 14 Dairuggers?<br>THE OTHER 26 TETSUJINS?,fear,.jpg,720,480,250,166,1670130770852484,1670130770,dnYbbr62oATO8kaL8csbpQ==,67683,0,what-happened-to-daitarns-1-and-2,,4,68,11,63.0,10.0,"[{'no': 21324231, 'now': '12/07/22(Wed)04:54:21', 'name': 'Anonymous', 'com': 'POSSIBLY I&#039;VE SEEN TOO MUCH<br>HANGARS 1-17, I KNOW TOO MUCH', 'filename': 'Dave', 'ext': '.jpg', 'w': 900, 'h': 600, 'tn_w': 125, 'tn_h': 83, 'tim': 1670406861172373, 'time': 1670406861, 'md5': 'PjX625WYsOso6HHtwKxdXw==', 'fsize': 154327, 'resto': 21317736}, {'no': 21326971, 'now': '12/08/22(Thu)16:09:28', 'name': 'Anonymous', 'com': '<a href=""#p21324231"" class=""quotelink"">&gt;&gt;21324231</a><br>POSSIBLE TO BREAK THESE WALLS<br>YOU SEE, THE STEEL’S ONLY SO STRONG<br>COMPUTER BANKS TO RUN THE COUNTY<br>INSTRUMENTS TO SNIFF THE SKY', 'time': 1670533768, 'resto': 21317736}, {'no': 21327166, 'now': '12/08/22(Thu)18:22:46', 'name': 'Anonymous', 'com': '<a href=""#p21324231"" class=""quotelink"">&gt;&gt;21324231</a><br>lel', 'time': 1670541766, 'resto': 21317736}, {'no': 21331555, 'now': '12/09/22(Fri)20:26:58', 'name': 'Anonymous', 'com': '<a href=""#p21317736"" class=""quotelink"">&gt;&gt;21317736</a><br>Apart of the other 26 Tetsjins...we don&#039;t talk about the other ones.<br>We also don&#039;t talk about Gundams that are below the F90.', 'time': 1670635618, 'resto': 21317736}, {'no': 21331591, 'now': '12/09/22(Fri)20:39:42', 'name': 'Anonymous', 'com': '<a href=""#p21318466"" class=""quotelink"">&gt;&gt;21318466</a><br><span class=""quote"">&gt; Get SEED Gundam in beginning of movie</span><br><span class=""quote"">&gt; BS plot causes him to lose</span><br><span class=""quote"">&gt; Remains of SEED Gundam become Gundam Yggdrasil</span><br><span class=""quote"">&gt; Promote from Jesus to a God, &quot;maintaining peace&quot; across the galaxy</span>', 'time': 1670636382, 'resto': 21317736}]",1670636382,0.0,0.0,
9,21327116,,12/08/22(Thu)17:44:34,Anonymous,,"<span class=""quote"">&gt;&quot;legendary&quot;</span><br><span class=""quote"">&gt;never heard of it</span>",Screenshot_20221208-194039_Chrome,.jpg,1080,914,250,211,1670539474682537,1670539474,8ay2YvM+JqruxvrghtLSrg==,273833,0,legendary,,4,13,0,8.0,0.0,"[{'no': 21331482, 'now': '12/09/22(Fri)20:04:33', 'name': 'Anonymous', 'com': '<a href=""#p21327116"" class=""quotelink"">&gt;&gt;21327116</a><br>Man, there&#039;s so much cool /m/ books/manga/stuff in japland that we&#039;ve never and will never hear of or get scans and translations of.', 'time': 1670634273, 'resto': 21327116}, {'no': 21331546, 'now': '12/09/22(Fri)20:22:23', 'name': 'Anonymous', 'com': '<a href=""#p21330585"" class=""quotelink"">&gt;&gt;21330585</a><br>Even the stuff that has been officially released in the west like the old Tokyopop Gundam SEED manga is not available on any of the manga pirating sites and extremely hard to find.<br>The actual Japanese stuff we haven&#039;t gotten officially is in an even worse place.', 'time': 1670635343, 'resto': 21327116}, {'no': 21331567, 'now': '12/09/22(Fri)20:31:24', 'name': 'Anonymous', 'com': 'Oh, we&#039;re pretending we knew of this. Okay.', 'time': 1670635884, 'resto': 21327116}, {'no': 21331580, 'now': '12/09/22(Fri)20:34:01', 'name': 'Anonymous', 'com': '<a href=""#p21331567"" class=""quotelink"">&gt;&gt;21331567</a><br>where do you think the quote about nanai´s pussy came from?', 'time': 1670636041, 'resto': 21327116}, {'no': 21331582, 'now': '12/09/22(Fri)20:34:28', 'name': 'Anonymous', 'com': 'it&#039;s anno, everything he&#039;s ever done is now retroactively legendary ever since he made evangelion. tiresome but that&#039;s the truth', 'time': 1670636068, 'resto': 21327116}]",1670636068,0.0,0.0,
