,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,6872254,1.0,1.0,03/11/17(Sat)16:09:30,The /wg/ Bros,Welcome to /wg/ - Wallpapers/General,"New to /wg/? Lets get you started.<br>~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~<br>1) Look before you post<br>2) Post more than one, sharing is caring<br>3) We already have an Image Modification thread<br>~ ~ (ALL colorsplash, watermarks, photoshop requests)<br>4) We already have a Desktop thread<br>~ ~ (ALL desktops, rating, and theme/hax questions)<br>5) Share anything WP related!<br>~ ~ (NO low res/quality, illegal content;<br>~ ~ ~ anime goes in /w/, this is not /r/)<br><br>We on /wg/ love WPs and we love sharing them.<br>~ ~ ~ That&#039;s why we&#039;re here.<br>~ ~ ~ ~ ~ Now lets do it!",stickyop,.jpg,840,672,250,200,1489266570954,1489266570,n2gHJOSc1QFSRNUjlcybBw==,224079,0,welcome-to-wg-wallpapersgeneral,4,3,3.0,2.0,"[{'no': 6872260, 'now': '03/11/17(Sat)16:14:36', 'name': 'The /wg/ Bros', 'com': '~New Visitors Please Read~<br><br>This guide will tell you all you need to know to enjoy your stay on /wg/. This guide is for YOUR benefit so don&#039;t tl;dr. This is good stuff!<br><br>ENJOY YOUR STAY<br><br>~ ~ ~ ~ ~ ~ ~ ~ , The /wg/ Bros<br><br><br>~ Read inside for more helpful tips, ~<br>WallPapers, and desktop customization!', 'filename': 'newcomer guide', 'ext': '.png', 'w': 3000, 'h': 1688, 'tn_w': 125, 'tn_h': 70, 'tim': 1489266876258, 'time': 1489266876, 'md5': 'eEVSUY0qmgDrNIHA2c6agQ==', 'fsize': 1671871, 'resto': 6872254}]",1489266886,,,
1,7942031,,,10/29/22(Sat)00:12:43,Anonymous,BATMAN,,6333f6bfb06e7,.jpg,2890,1625,249,140,1667016763354973,1667016763,CevOFcQHLr3UoLNgrc5Pzw==,864088,0,batman,144,129,139.0,124.0,"[{'no': 7951634, 'now': '12/12/22(Mon)17:55:26', 'name': 'Anonymous', 'filename': 'wp11042712', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670885726695268, 'time': 1670885726, 'md5': 'LlZ2EaCPKc6Ete+IycK/Ag==', 'fsize': 3108853, 'resto': 7942031}, {'no': 7951709, 'now': '12/13/22(Tue)07:07:25', 'name': 'Anonymous', 'filename': '1625230811008', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670933245542881, 'time': 1670933245, 'md5': 'EsX+MOOfdVnpKTEUqiDptA==', 'fsize': 139546, 'resto': 7942031}, {'no': 7951710, 'now': '12/13/22(Tue)07:08:34', 'name': 'Anonymous', 'filename': '722180', 'ext': '.jpg', 'w': 1920, 'h': 1200, 'tn_w': 125, 'tn_h': 78, 'tim': 1670933314711632, 'time': 1670933314, 'md5': 'ky001GhGVFnj6ldQAmM0og==', 'fsize': 537747, 'resto': 7942031}, {'no': 7951711, 'now': '12/13/22(Tue)07:09:07', 'name': 'Anonymous', 'filename': '1571499742775', 'ext': '.jpg', 'w': 2048, 'h': 1365, 'tn_w': 125, 'tn_h': 83, 'tim': 1670933347969633, 'time': 1670933347, 'md5': 'hU1XC0R8BbuOJw/TizxXew==', 'fsize': 633510, 'resto': 7942031}, {'no': 7951712, 'now': '12/13/22(Tue)07:09:40', 'name': 'Anonymous', 'filename': '1568581843511', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670933380777612, 'time': 1670933380, 'md5': 'KveZBifurHnLd7DjzzlJqg==', 'fsize': 303826, 'resto': 7942031}]",1670933380,0.0,0.0,
2,7944964,,,11/10/22(Thu)16:48:36,Anonymous,Nudes/lewds of non 3-D girls no futa,"Previous thread:<br><span class=""deadlink"">&gt;&gt;7930574</span>",Konachan.com - 349506 ass blue_eyes breasts brown_hair fate_(series) fate_stay_night gomashio_ponz jpeg_artifacts nipples nude third-party_edit tohsaka_rin wet,.jpg,2250,1800,250,200,1668116916283706,1668116916,RRNbmIzA0L2COWdzFYacnw==,453579,0,nudeslewds-of-non-3d-girls-no-futa,144,119,139.0,114.0,"[{'no': 7951508, 'now': '12/12/22(Mon)08:58:16', 'name': 'Anonymous', 'filename': 'orr8sr', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670853496098652, 'time': 1670853496, 'md5': 'GcAFsoxTJvEq+4J+huZhlA==', 'fsize': 1281909, 'resto': 7944964}, {'no': 7951526, 'now': '12/12/22(Mon)10:23:39', 'name': 'Anonymous', 'filename': '__original_drawn_by_blanclauz__85ba81cf9686aac1ec9d511209738996', 'ext': '.jpg', 'w': 1887, 'h': 2438, 'tn_w': 96, 'tn_h': 125, 'tim': 1670858619633869, 'time': 1670858619, 'md5': 'lNO4jCC8ZX9hrFjH4+o//w==', 'fsize': 1247264, 'resto': 7944964}, {'no': 7951554, 'now': '12/12/22(Mon)11:25:58', 'name': 'Anonymous', 'filename': 'qz98z7', 'ext': '.png', 'w': 5000, 'h': 2813, 'tn_w': 125, 'tn_h': 70, 'tim': 1670862358408192, 'time': 1670862358, 'md5': 'jO0+IQ9BuhX1Tn2SGDgyAQ==', 'fsize': 3534852, 'resto': 7944964}, {'no': 7951707, 'now': '12/13/22(Tue)05:32:45', 'name': 'Anonymous', 'com': '<a href=""#p7951467"" class=""quotelink"">&gt;&gt;7951467</a><br>see, this is what happens when we have no nut november. slerglords like this save up, and then cumshot their load in a bust of fury like this one.', 'filename': '1355105349846', 'ext': '.jpg', 'w': 1280, 'h': 960, 'tn_w': 125, 'tn_h': 93, 'tim': 1670927565064082, 'time': 1670927565, 'md5': 'FWUKdhamuXsRBzRRTsrh/g==', 'fsize': 282127, 'resto': 7944964}, {'no': 7951708, 'now': '12/13/22(Tue)05:45:01', 'name': 'Anonymous', 'com': '<a href=""#p7951707"" class=""quotelink"">&gt;&gt;7951707</a><br>I say they just bust in the tranny. Teo fags, one nut. Priblem solved.', 'filename': 'Konachan.com - 350721 aliasing bed black_hair blue_eyes blush bow bra iwanishi open_shirt original school_uniform shirt skirt underwear', 'ext': '.jpg', 'w': 1428, 'h': 1000, 'tn_w': 124, 'tn_h': 87, 'tim': 1670928301492488, 'time': 1670928301, 'md5': 'KjgVKtSXMHbLYXb//EC1YA==', 'fsize': 299987, 'resto': 7944964}]",1670928301,0.0,0.0,
3,7947423,,,11/23/22(Wed)09:00:17,Anonymous,Los Angeles/California,I&#039;m going for vacation in March to Los Angeles! Post LA or Cali papes. I can&#039;t wait!,pexels-rodnae-productions-8782682,.jpg,2592,1727,250,166,1669212017786030,1669212017,uSPJqEFzbd5W1XivLcWNlg==,1336549,0,los-angelescalifornia,26,14,21.0,10.0,"[{'no': 7951149, 'now': '12/10/22(Sat)10:16:12', 'name': 'Anonymous', 'filename': 'wallhaven-p2l3we', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670685372582342, 'time': 1670685372, 'md5': '10dHYpTsY/xSFqRuiO7w9w==', 'fsize': 2628541, 'resto': 7947423}, {'no': 7951283, 'now': '12/11/22(Sun)03:12:28', 'name': 'Anonymous', 'com': '<a href=""#p7951147"" class=""quotelink"">&gt;&gt;7951147</a><br>Beautiful shot.', 'time': 1670746348, 'resto': 7947423}, {'no': 7951667, 'now': '12/12/22(Mon)20:41:25', 'name': 'Anonymous', 'filename': 'city-buildings-digital-art-los-angeles-cityscape-uhdpaper.com-4K-25', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670895685667579, 'time': 1670895685, 'md5': 'U1krFsNovts2CJfuiizOCQ==', 'fsize': 1111730, 'resto': 7947423}, {'no': 7951669, 'now': '12/12/22(Mon)20:45:05', 'name': 'Anonymous', 'filename': 'los-angeles-cityscape-night-city-buildings-digital-art-uhdpaper.com-4K-26', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670895905425122, 'time': 1670895905, 'md5': 'yWgNghAq47lKAz9jsvregw==', 'fsize': 3843280, 'resto': 7947423}, {'no': 7951706, 'now': '12/13/22(Tue)04:57:47', 'name': 'Anonymous', 'com': '<a href=""#p7947474"" class=""quotelink"">&gt;&gt;7947474</a><br>This is more like it', 'filename': '121730-full', 'ext': '.jpg', 'w': 1024, 'h': 689, 'tn_w': 125, 'tn_h': 84, 'tim': 1670925467065824, 'time': 1670925467, 'md5': 'sLZ9nDl/nyT2aRjF1KLGsg==', 'fsize': 411665, 'resto': 7947423}]",1670925467,0.0,0.0,
4,7945862,,,11/14/22(Mon)19:52:54,Anonymous,Battlestation Thread,"Show your setup/pc. Mine is pretty unique, I&#039;d say.",IMG_20221114_165012147,.jpg,4080,3072,250,188,1668473574454038,1668473574,3dabmsjVTu5e2CtJEegVfA==,2949613,0,battlestation-thread,218,63,213.0,62.0,"[{'no': 7951700, 'now': '12/13/22(Tue)04:29:04', 'name': 'Anonymous', 'com': 'Am I worth anons?', 'filename': 'IMG_0023', 'ext': '.jpg', 'w': 2307, 'h': 1730, 'tn_w': 125, 'tn_h': 93, 'tim': 1670923744678968, 'time': 1670923744, 'md5': 'A5EH0pbLtu0yqzmkkXqecw==', 'fsize': 829851, 'resto': 7945862}, {'no': 7951702, 'now': '12/13/22(Tue)04:35:46', 'name': 'Anonymous', 'com': '<a href=""#p7950154"" class=""quotelink"">&gt;&gt;7950154</a><br>If you can read Japanese (vocab over 15000 words), pretty cool. If not, no pussy allowed zone.', 'time': 1670924146, 'resto': 7945862}, {'no': 7951703, 'now': '12/13/22(Tue)04:38:11', 'name': 'Anonymous', 'com': '<a href=""#p7950683"" class=""quotelink"">&gt;&gt;7950683</a><br>You&#039;re probably an autist but your setup and the &#039;dont tread on me&#039; flag makes no sense. Like.. you&#039;re clearly a nerd and are begging to get bullied. But at least you don&#039;t have a gun on your desk to compensate for a small penis.<br>Pretty chill otherwise.', 'time': 1670924291, 'resto': 7945862}, {'no': 7951704, 'now': '12/13/22(Tue)04:39:49', 'name': 'Anonymous', 'com': '<a href=""#p7951251"" class=""quotelink"">&gt;&gt;7951251</a><br>An actual legend...', 'time': 1670924389, 'resto': 7945862}, {'no': 7951705, 'now': '12/13/22(Tue)04:42:18', 'name': 'Anonymous', 'com': '<a href=""#p7951463"" class=""quotelink"">&gt;&gt;7951463</a><br>Pretty good. Thank god someone on here has books. Not sure if god would approve of you being on 4chan tho', 'time': 1670924538, 'resto': 7945862}]",1670924538,0.0,0.0,
5,7899667,,,05/21/22(Sat)11:33:56,Anonymous,warhammer paintings thread 40k/fantasy,40k thread is full. needs more john blanche and big ass paintings in general. gimme some gudshit,johnblanchewantswomentosteponhim,.png,1000,1471,169,249,1653147236090,1653147236,nXC1fahFklNJzW5T5yFYZA==,3512676,0,warhammer-paintings-thread-40kfantasy,285,240,280.0,236.0,"[{'no': 7951688, 'now': '12/13/22(Tue)00:22:40', 'name': 'Anonymous', 'filename': '1637790805699', 'ext': '.jpg', 'w': 1920, 'h': 1200, 'tn_w': 125, 'tn_h': 78, 'tim': 1670908960286591, 'time': 1670908960, 'md5': 'B3bbskRrikWCeR3iEYWUBg==', 'fsize': 1852264, 'resto': 7899667}, {'no': 7951689, 'now': '12/13/22(Tue)00:23:12', 'name': 'Anonymous', 'filename': '1639861357570', 'ext': '.png', 'w': 1176, 'h': 1980, 'tn_w': 74, 'tn_h': 125, 'tim': 1670908992897504, 'time': 1670908992, 'md5': 'ekN9ScYxUuF/0K+G2gFQ7w==', 'fsize': 2922482, 'resto': 7899667}, {'no': 7951690, 'now': '12/13/22(Tue)00:23:51', 'name': 'Anonymous', 'filename': '1640292988112', 'ext': '.png', 'w': 2400, 'h': 1744, 'tn_w': 125, 'tn_h': 90, 'tim': 1670909031533948, 'time': 1670909031, 'md5': 'HTd20vldbkKd2EGRqh7LjQ==', 'fsize': 3991128, 'resto': 7899667}, {'no': 7951691, 'now': '12/13/22(Tue)00:24:23', 'name': 'Anonymous', 'filename': '1584909124194', 'ext': '.jpg', 'w': 1920, 'h': 1396, 'tn_w': 125, 'tn_h': 90, 'tim': 1670909063326513, 'time': 1670909063, 'md5': '/cR3hlj86JMqnYE+W2dyLQ==', 'fsize': 634799, 'resto': 7899667}, {'no': 7951701, 'now': '12/13/22(Tue)04:29:23', 'name': 'Anonymous', 'com': '<a href=""#p7934153"" class=""quotelink"">&gt;&gt;7934153</a><br>do you have lady november?', 'time': 1670923763, 'resto': 7899667}]",1670923763,0.0,0.0,
6,7947444,,,11/23/22(Wed)10:34:11,Anonymous,IMT #763 - THIS IS THE OFFICIAL IMAGE MODIFICATION THREAD,"Welcome to the IMT! We are here to help.<br>All wallpaper, and most image, modification requests are welcome, but within reason, as this is not <a href=""//boards.4chan.org/b/catalog#s=%2C"" class=""quotelink"">&gt;&gt;&gt;/b/,</a> <a href=""//boards.4chan.org/r/"" class=""quotelink"">&gt;&gt;&gt;/r/</a> or <a href=""//boards.4channel.org/w/catalog#s=imt"" class=""quotelink"">&gt;&gt;&gt;/w/imt</a>.<br><span class=""quote"">&gt; Requestor</span><br>• ALWAYS REVERSE IMAGE SEARCH before you ask us for help. See the /wg/ sticky.<br>• EXPLAIN YOUR REQUEST IN DETAIL. Details help us get you the image that you want.<br>• STATE SPECIFIC DESIRED IMAGE SIZE, (ex., 1920 x 1080). &quot;Bigger,&quot; &quot;higher,&quot; &quot;fit my phone,&quot; and the like, are NOT sizes.<br>• KNOW YOUR SCREEN RESOLUTION before you ask for help. Google/Bing/DDG Phone model + &quot;resolution&quot;.<br>• UPLOAD AND LINK to an image hosting site, such as https://catbox.moe/, if your image is too small to post. DO NOT add white space OR stretch/shrink your picture. Imgur is known to compress images, compromising quality.<br><span class=""quote"">&gt; All</span><br>• DO NOT post images unless they need to be modified or are the answer to a request.<br>• BE POLITE. Try to use proper spelling and grammar.<br>• CORRECT word choice (ex.: transparency/cut-out/render) is not as important as DETAILS in a request.<br>• DO NOT harass people. HELP when they ask for an edit or let others deal with the request.<br><span class=""quote"">&gt; Any questions?</span><br>• Just ask, you&#039;re bound to get at least one answer.<br>• Tools we use Photoshop, GIMP, Paint.NET, PIXLR, MSpaint, and luck...<br><span class=""quote"">&gt; 4chan Image/Thread Limitations</span><br>• Images SMALLER than 480x600 pixels DO NOT post. (1000x599 or 479x1000 will NOT work)<br>• Images LARGER than 6MB will NOT post.<br>• Supported file types are: GIF, JPG, PNG, WEBM<br>• Maximum file size allowed is 6 MB<br>• Thread Post Bump Limit - 300 +OP<br>• We recommend NOT posting NSFW images. /wg/ has always been SFW (ignoring the default Yotsuba theme). Moderators have started ENFORCING this rule.<br><span class=""quote"">&gt;Archived Threads</span><br>https://archive.nyafuu.org/wg/searc<wbr>h/text/IMT/type/op/<br><br>Previous thread: <a href=""/wg/thread/7939465#p7939465"" class=""quotelink"">&gt;&gt;7939465</a>",IMT#763,.jpg,1920,1080,250,140,1669217651647274,1669217651,J8nfinUxrRdj7YT0d9RF5Q==,750249,0,imt-763-this-is-the-official-image-modification,174,111,169.0,108.0,"[{'no': 7951603, 'now': '12/12/22(Mon)16:55:45', 'name': 'Anonymous', 'com': 'can&#039;t find a 300DPI image of Malta that&#039;s free without watermarks online. <br>Can someone clear this up of watermarks?', 'filename': 'dreamstime_l_28753935-CVFJgKgF_-transformed', 'ext': '.jpg', 'w': 2400, 'h': 1600, 'tn_w': 125, 'tn_h': 83, 'tim': 1670882145645710, 'time': 1670882145, 'md5': '0I/3OxAR67HcqAFuHm023A==', 'fsize': 554307, 'resto': 7947444}, {'no': 7951604, 'now': '12/12/22(Mon)16:57:35', 'name': 'Anonymous', 'com': '<a href=""#p7951603"" class=""quotelink"">&gt;&gt;7951603</a><br>that was a shit one from a free watermark remover.', 'filename': 'dreamstime_l_28753935 copy', 'ext': '.jpg', 'w': 2400, 'h': 1600, 'tn_w': 125, 'tn_h': 83, 'tim': 1670882255978006, 'time': 1670882255, 'md5': '2wfgNnjElXSlGijJMqlCeQ==', 'fsize': 1370576, 'resto': 7947444}, {'no': 7951657, 'now': '12/12/22(Mon)18:49:39', 'name': 'Anonymous', 'com': 'Can I get this in a 1920x1080 wothout the white border?', 'filename': '1670858619633869', 'ext': '.jpg', 'w': 1887, 'h': 2438, 'tn_w': 96, 'tn_h': 125, 'tim': 1670888979860195, 'time': 1670888979, 'md5': 'lNO4jCC8ZX9hrFjH4+o//w==', 'fsize': 1247264, 'resto': 7947444}, {'no': 7951658, 'now': '12/12/22(Mon)18:52:08', 'name': 'Anonymous', 'com': '<a href=""#p7951657"" class=""quotelink"">&gt;&gt;7951657</a><br>And a waifu material banner across her boobs?', 'time': 1670889128, 'resto': 7947444}, {'no': 7951699, 'now': '12/13/22(Tue)03:01:16', 'name': 'Anonymous', 'com': '<a href=""#p7951603"" class=""quotelink"">&gt;&gt;7951603</a><br>https://www.jscarhire.com/theme/JS/<wbr>images/bgtop_3.jpg', 'time': 1670918476, 'resto': 7947444}]",1670918476,0.0,0.0,
7,7942967,,,11/01/22(Tue)21:21:04,Anonymous,cute &amp; girly papes,,1639098189361,.jpg,1511,854,250,141,1667352064571582,1667352064,JY6swdLY7gWX6iUH9bJ3xA==,131458,0,cute-girly-papes,203,122,198.0,118.0,"[{'no': 7951645, 'now': '12/12/22(Mon)18:17:15', 'name': 'Anonymous', 'com': '<a href=""#p7951644"" class=""quotelink"">&gt;&gt;7951644</a>', 'filename': '1649492590523', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670887035837441, 'time': 1670887035, 'md5': 'eOWVT6fLnscUshghmQEYTw==', 'fsize': 1819278, 'resto': 7942967}, {'no': 7951646, 'now': '12/12/22(Mon)18:17:53', 'name': 'Anonymous', 'com': '<a href=""#p7951645"" class=""quotelink"">&gt;&gt;7951645</a>', 'filename': '1663436941979750', 'ext': '.jpg', 'w': 2560, 'h': 1600, 'tn_w': 125, 'tn_h': 78, 'tim': 1670887073039918, 'time': 1670887073, 'md5': 'Sc2g737DswW+YTNhRFx5RA==', 'fsize': 1048220, 'resto': 7942967}, {'no': 7951647, 'now': '12/12/22(Mon)18:18:33', 'name': 'Anonymous', 'com': '<a href=""#p7951646"" class=""quotelink"">&gt;&gt;7951646</a>', 'filename': '1658353122538713', 'ext': '.jpg', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670887113662309, 'time': 1670887113, 'md5': 'J4SMSAYSExYLb65zDPaheg==', 'fsize': 1129861, 'resto': 7942967}, {'no': 7951648, 'now': '12/12/22(Mon)18:19:11', 'name': 'Anonymous', 'com': '<a href=""#p7951647"" class=""quotelink"">&gt;&gt;7951647</a><br>Your mileage of cute and girly might, of course, vary.', 'filename': '1654297399491', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670887151446015, 'time': 1670887151, 'md5': 'hGcLPlvuaZyEn5w8nLOeLg==', 'fsize': 678019, 'resto': 7942967}, {'no': 7951698, 'now': '12/13/22(Tue)02:17:29', 'name': 'Anonymous', 'com': '<a href=""#p7948253"" class=""quotelink"">&gt;&gt;7948253</a><br><span class=""quote"">&gt;chicanery</span><br>only us trannies watch better call saul<br>nobody else uses that word', 'time': 1670915849, 'resto': 7942967}]",1670915849,0.0,0.0,
8,7950838,,,12/08/22(Thu)17:46:13,Anonymous,Revolution,Something different,167053928986038085,.jpg,770,1080,178,250,1670539573245012,1670539573,bDmClhaFIP0T34LZxzhV7A==,68674,0,revolution,42,24,37.0,19.0,"[{'no': 7951437, 'now': '12/11/22(Sun)22:14:49', 'name': 'Anonymous', 'filename': '1630461662148', 'ext': '.jpg', 'w': 1031, 'h': 613, 'tn_w': 125, 'tn_h': 74, 'tim': 1670814889371881, 'time': 1670814889, 'md5': '+cEvhjAsLLTNDS2HKKHqSQ==', 'fsize': 137602, 'resto': 7950838}, {'no': 7951585, 'now': '12/12/22(Mon)14:34:58', 'name': 'Anonymous', 'com': '<a href=""#p7950838"" class=""quotelink"">&gt;&gt;7950838</a>', 'filename': '1324050691667', 'ext': '.png', 'w': 1440, 'h': 900, 'tn_w': 125, 'tn_h': 78, 'tim': 1670873698098934, 'time': 1670873698, 'md5': '/RCX4sDqGCuHfisBCfmj0g==', 'fsize': 451001, 'resto': 7950838}, {'no': 7951695, 'now': '12/13/22(Tue)01:44:42', 'name': 'Anonymous', 'filename': 'E5D219B8-8705-4185-8F23-E4F40A9F258F', 'ext': '.jpg', 'w': 1000, 'h': 1500, 'tn_w': 83, 'tn_h': 125, 'tim': 1670913882866779, 'time': 1670913882, 'md5': 'IdirgbqFFxcZG7eCBu+WWQ==', 'fsize': 482659, 'resto': 7950838}, {'no': 7951696, 'now': '12/13/22(Tue)01:45:13', 'name': 'Anonymous', 'filename': 'A579D10E-D4AD-49FA-AD8D-214AE594D000', 'ext': '.jpg', 'w': 750, 'h': 1000, 'tn_w': 93, 'tn_h': 125, 'tim': 1670913913112824, 'time': 1670913913, 'md5': '8vyDQs8pREEhG8Rs2OSUXQ==', 'fsize': 291825, 'resto': 7950838}, {'no': 7951697, 'now': '12/13/22(Tue)01:45:48', 'name': 'Anonymous', 'filename': 'BCC3C0BF-ADAD-4E2A-B880-4ECBEF51D9B8', 'ext': '.jpg', 'w': 571, 'h': 800, 'tn_w': 89, 'tn_h': 125, 'tim': 1670913948857087, 'time': 1670913948, 'md5': 'mCL/tbj8WuMa/ezL7o9Kog==', 'fsize': 104969, 'resto': 7950838}]",1670913948,0.0,0.0,
9,7945792,,,11/14/22(Mon)14:09:00,Anonymous,flat background + character,post your favorite minimal wallpapers featuring flat backgrounds and characters / inanimate objects,party_cat,.jpg,1680,1050,250,156,1668452940059017,1668452940,sr23T5T1OZzoDRr7NHri0A==,89361,0,flat-background-character,133,128,128.0,124.0,"[{'no': 7950845, 'now': '12/08/22(Thu)18:35:50', 'name': 'Anonymous', 'com': '<a href=""#p7948344"" class=""quotelink"">&gt;&gt;7948344</a><br>brilliant', 'time': 1670542550, 'resto': 7945792}, {'no': 7950859, 'now': '12/08/22(Thu)20:59:40', 'name': 'Anonymous', 'filename': '1645311337556', 'ext': '.jpg', 'w': 1920, 'h': 1200, 'tn_w': 125, 'tn_h': 78, 'tim': 1670551180091620, 'time': 1670551180, 'md5': '65ghqEyCckyZ2mnbbvfx8w==', 'fsize': 530177, 'resto': 7945792}, {'no': 7950860, 'now': '12/08/22(Thu)21:00:27', 'name': 'Anonymous', 'filename': 'e081344fa81885e3b1a99e4fc92a7e7d', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670551227886423, 'time': 1670551227, 'md5': '2hVI9xXRgWd9/EjCXxYqlw==', 'fsize': 186838, 'resto': 7945792}, {'no': 7951692, 'now': '12/13/22(Tue)00:28:27', 'name': 'Anonymous', 'com': '<a href=""#p7945800"" class=""quotelink"">&gt;&gt;7945800</a><br>I love that one, I edited my favorite album&#039;s cover on to it.', 'filename': 'MoreConstant', 'ext': '.jpg', 'w': 1920, 'h': 1200, 'tn_w': 125, 'tn_h': 78, 'tim': 1670909307993772, 'time': 1670909307, 'md5': 'Q8sa+OuybJNHHo8tW2azLQ==', 'fsize': 331664, 'resto': 7945792}, {'no': 7951694, 'now': '12/13/22(Tue)01:37:08', 'name': 'Anonymous', 'filename': '486C614F-B70D-46FC-83FA-DB6FFA841DE8', 'ext': '.png', 'w': 750, 'h': 1334, 'tn_w': 70, 'tn_h': 124, 'tim': 1670913428929342, 'time': 1670913428, 'md5': 'IpX3Fh9E2iLaFTgDKG102Q==', 'fsize': 677357, 'resto': 7945792}]",1670913428,0.0,0.0,
