,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,6872254,1.0,1.0,03/11/17(Sat)16:09:30,The /wg/ Bros,Welcome to /wg/ - Wallpapers/General,"New to /wg/? Lets get you started.<br>~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~<br>1) Look before you post<br>2) Post more than one, sharing is caring<br>3) We already have an Image Modification thread<br>~ ~ (ALL colorsplash, watermarks, photoshop requests)<br>4) We already have a Desktop thread<br>~ ~ (ALL desktops, rating, and theme/hax questions)<br>5) Share anything WP related!<br>~ ~ (NO low res/quality, illegal content;<br>~ ~ ~ anime goes in /w/, this is not /r/)<br><br>We on /wg/ love WPs and we love sharing them.<br>~ ~ ~ That&#039;s why we&#039;re here.<br>~ ~ ~ ~ ~ Now lets do it!",stickyop,.jpg,840,672,250,200,1489266570954,1489266570,n2gHJOSc1QFSRNUjlcybBw==,224079,0,welcome-to-wg-wallpapersgeneral,4,3,3.0,2.0,"[{'no': 6872260, 'now': '03/11/17(Sat)16:14:36', 'name': 'The /wg/ Bros', 'com': '~New Visitors Please Read~<br><br>This guide will tell you all you need to know to enjoy your stay on /wg/. This guide is for YOUR benefit so don&#039;t tl;dr. This is good stuff!<br><br>ENJOY YOUR STAY<br><br>~ ~ ~ ~ ~ ~ ~ ~ , The /wg/ Bros<br><br><br>~ Read inside for more helpful tips, ~<br>WallPapers, and desktop customization!', 'filename': 'newcomer guide', 'ext': '.png', 'w': 3000, 'h': 1688, 'tn_w': 125, 'tn_h': 70, 'tim': 1489266876258, 'time': 1489266876, 'md5': 'eEVSUY0qmgDrNIHA2c6agQ==', 'fsize': 1671871, 'resto': 6872254}]",1489266886,,,
1,7948216,,,11/26/22(Sat)17:36:08,Anonymous,Japanese Women,,X-MAS,.jpg,1200,1600,187,250,1669502168872797,1669502168,2GjH3TSTEpCRyDuIFCpkWw==,478348,0,japanese-women,69,64,64.0,59.0,"[{'no': 7950928, 'now': '12/09/22(Fri)07:54:45', 'name': 'Anonymous', 'filename': '1670590466467', 'ext': '.jpg', 'w': 1800, 'h': 1311, 'tn_w': 125, 'tn_h': 91, 'tim': 1670590485016112, 'time': 1670590485, 'md5': 'nrBvX1Wuf6cwYip5L5JPPA==', 'fsize': 565961, 'resto': 7948216}, {'no': 7951088, 'now': '12/10/22(Sat)01:15:06', 'name': 'Anonymous', 'filename': 'remu-suzumori, queen of JAV from the board jp', 'ext': '.jpg', 'w': 1366, 'h': 868, 'tn_w': 125, 'tn_h': 79, 'tim': 1670652906823633, 'time': 1670652906, 'md5': 'U2iaogY0SWWwI1tuy0fpNw==', 'fsize': 247460, 'resto': 7948216}, {'no': 7951120, 'now': '12/10/22(Sat)06:43:35', 'name': 'Anonymous', 'filename': '1670672605024', 'ext': '.jpg', 'w': 2333, 'h': 1536, 'tn_w': 124, 'tn_h': 82, 'tim': 1670672615918911, 'time': 1670672615, 'md5': 'jubU6G3HgTpTvyxswUkh5g==', 'fsize': 244882, 'resto': 7948216}, {'no': 7951122, 'now': '12/10/22(Sat)06:55:44', 'name': 'Anonymous', 'filename': '1670673334093', 'ext': '.jpg', 'w': 2048, 'h': 1365, 'tn_w': 125, 'tn_h': 83, 'tim': 1670673344767160, 'time': 1670673344, 'md5': '/NVne/cyVFG7EZ9M06MWKA==', 'fsize': 339132, 'resto': 7948216}, {'no': 7951123, 'now': '12/10/22(Sat)06:57:57', 'name': 'Anonymous', 'filename': '1670673463953', 'ext': '.jpg', 'w': 4320, 'h': 2880, 'tn_w': 125, 'tn_h': 83, 'tim': 1670673477927565, 'time': 1670673477, 'md5': 'yXUXPrgxDzPmxV2bGlR8bw==', 'fsize': 1201453, 'resto': 7948216}]",1670673477,0.0,0.0,
2,7949081,,,11/30/22(Wed)09:54:38,Anonymous,Post a wallpaper and say what&#039;s on your mind,"All are welcome here.<br><br>Previous: <a href=""/wg/thread/7929629#p7929629"" class=""quotelink"">&gt;&gt;7929629</a>",Untitled-1,.jpg,2560,1440,250,140,1669820078156379,1669820078,p9YO5aUzNfixbcfB9GfV1Q==,3750200,0,post-a-wallpaper-and-say-whats-on-your-mind,24,13,19.0,12.0,"[{'no': 7951010, 'now': '12/09/22(Fri)16:27:28', 'name': 'Anonymous', 'com': '<a href=""#p7950963"" class=""quotelink"">&gt;&gt;7950963</a><br>It&#039;s nice to have little spontaneous moments like that. Some of the best parts of life.', 'time': 1670621248, 'resto': 7949081}, {'no': 7951034, 'now': '12/09/22(Fri)18:40:33', 'name': 'Anonymous', 'com': '<a href=""#p7950836"" class=""quotelink"">&gt;&gt;7950836</a><br>Tomorrow can be better than today.', 'time': 1670629233, 'resto': 7949081}, {'no': 7951035, 'now': '12/09/22(Fri)18:47:50', 'name': 'Anonymous', 'com': '<a href=""#p7950836"" class=""quotelink"">&gt;&gt;7950836</a><br>But there&#039;s truth and consolation<br>And what I&#039;m trying to say<br>Is that nobody ever had a rainbow, baby<br>Until he had the rain', 'time': 1670629670, 'resto': 7949081}, {'no': 7951100, 'now': '12/10/22(Sat)03:10:03', 'name': 'Anonymous', 'com': '<a href=""#p7949081"" class=""quotelink"">&gt;&gt;7949081</a><br>im a disordered retard and i fucking hate the way my brain works sometimes i just want to stab my head w a knife bc of how frustrating things can get and recently i started experiencing paranoia bc of ppl, they are so oversensitive to the point its disgusting and pathetic and bc of that i have to double check every word, every idea, every slang, every fucking shit before saying something so i dont &quot;offend anyone&quot; it gets so bad to the point i start smashing my head against a wall.<br>this wallpaper makes me feel calm desu', 'filename': '27bbconb9av61', 'ext': '.jpg', 'w': 5160, 'h': 2160, 'tn_w': 125, 'tn_h': 52, 'tim': 1670659803477882, 'time': 1670659803, 'md5': 'ZCXcXkHWUi8gQDx69mJ1Zg==', 'fsize': 2237089, 'resto': 7949081}, {'no': 7951121, 'now': '12/10/22(Sat)06:46:15', 'name': 'Anonymous', 'com': '<a href=""#p7949115"" class=""quotelink"">&gt;&gt;7949115</a><br>Think about the things you say to bring yourself down. If you analyze them logically, you&#039;ll find they&#039;re all bullshit.', 'time': 1670672775, 'resto': 7949081}]",1670672775,0.0,0.0,
3,7890983,,,04/20/22(Wed)12:40:59,Anonymous,Planes/Jets Thread,,ace,.jpg,3800,1905,250,125,1650472859899,1650472859,7s78tLWf7jbLNOFUcdsJng==,1278558,0,planesjets-thread,299,276,294.0,271.0,"[{'no': 7950783, 'now': '12/08/22(Thu)11:24:41', 'name': 'Anonymous', 'filename': 'DCS 2022-12-06 00-45-33', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670516681434834, 'time': 1670516681, 'md5': '3IohVWbnABjJGqTlO+LMJA==', 'fsize': 1347012, 'resto': 7890983}, {'no': 7950784, 'now': '12/08/22(Thu)11:25:31', 'name': 'Anonymous', 'filename': 'DCS 2022-12-06 00-53-59', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670516731232916, 'time': 1670516731, 'md5': 'iAD7m8KP6hS/VqyEqWgd0g==', 'fsize': 2125977, 'resto': 7890983}, {'no': 7950785, 'now': '12/08/22(Thu)11:26:20', 'name': 'Anonymous', 'filename': 'DCS 2018-01-31 20-49-44', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670516780663458, 'time': 1670516780, 'md5': 'CQPzJc73tKWSn3PJz0nWSA==', 'fsize': 1466424, 'resto': 7890983}, {'no': 7950786, 'now': '12/08/22(Thu)11:28:17', 'name': 'Anonymous', 'filename': 'DCS 2018-05-01 23-35-29', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670516897018562, 'time': 1670516897, 'md5': 'hqWuhenPckyV2XQG+UOw9A==', 'fsize': 846504, 'resto': 7890983}, {'no': 7951119, 'now': '12/10/22(Sat)06:29:23', 'name': 'Anonymous', 'filename': 'DCS 2022-12-09 01-24-34', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670671763049157, 'time': 1670671763, 'md5': 'mqy4UP5nSw3q4QDIYaWBYg==', 'fsize': 2750949, 'resto': 7890983}]",1670671763,0.0,0.0,
4,7951093,,,12/10/22(Sat)01:32:26,Anonymous,,"Hey /wg/ today is my bday, post your 24th wallpaper",0024,.jpg,1920,1102,250,143,1670653946157280,1670653946,o8wzSKIiYSDJ25tik8yGvQ==,553293,0,hey-wg-today-is-my-bday-post-your-24th-wallpaper,3,3,,,"[{'no': 7951095, 'now': '12/10/22(Sat)01:51:41', 'name': 'Anonymous', 'com': '<a href=""#p7951093"" class=""quotelink"">&gt;&gt;7951093</a><br>Happy Birthday, OP!', 'filename': '1661976429026847', 'ext': '.jpg', 'w': 1400, 'h': 933, 'tn_w': 125, 'tn_h': 83, 'tim': 1670655101367234, 'time': 1670655101, 'md5': 'i58ZCjhod3THhI4gc7rMkg==', 'fsize': 356154, 'resto': 7951093}, {'no': 7951096, 'now': '12/10/22(Sat)02:16:09', 'name': 'Anonymous', 'com': 'Happy birthday, anon.', 'filename': '1790bb17b0e310df5bb3cc45c09c1c67', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670656569783283, 'time': 1670656569, 'md5': 'gka5M9B1kJ2SqU3M5IEA8g==', 'fsize': 3036274, 'resto': 7951093}, {'no': 7951118, 'now': '12/10/22(Sat)06:27:45', 'name': 'Anonymous', 'com': '24th', 'filename': '1629169340117', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670671665665260, 'time': 1670671665, 'md5': 'S27qZfgz/rUg4FKTKdRsLw==', 'fsize': 698308, 'resto': 7951093}]",1670671665,0.0,0.0,
5,7927778,,,08/31/22(Wed)13:23:18,Anonymous,My dad is dying.,"I just walked in on him crying alone in the living room, talking about giving away his dogs because he &quot;can&#039;t take care of them the way they need&quot;. He&#039;s scheduling a double foot amputation from two diabetic ulcers today with the help of his caretaker. He went blind in December from giant temporal arteritis, an unlikely complication of diabetes for a man almost 60 years old. After an ultrasound last week, they told him his kidneys are failing too.<br><br>If you guys have any advice, please let me know. I don&#039;t know how to help him find peace.<br><br>also: concrete, trains, adventure, nord-theme, asceticism, piousness<br><br>:&quot;[",DSC03281,.jpg,2560,1707,250,166,1661966598078177,1661966598,dnar89jomf7Mmf+y75Tizw==,807685,0,my-dad-is-dying,145,42,140.0,40.0,"[{'no': 7950770, 'now': '12/08/22(Thu)05:01:09', 'name': 'Anonymous', 'com': '<a href=""#p7928616"" class=""quotelink"">&gt;&gt;7928616</a><br>&quot;he&#039;s never died before&quot; fucking lmao <br>genuinely good advice before that tho', 'time': 1670493669, 'resto': 7927778}, {'no': 7950779, 'now': '12/08/22(Thu)07:41:43', 'name': 'Anonymous', 'com': 'Not to be mean to OP or anything cause that sounds horrible, but I do wonder why so many people flock to this board to talk about their personal problems. So many threads about OP&#039;s dad dying, or OP&#039;s girlfriend dumping him, or OP having suicidal thoughts, OP&#039;s depression, etc. How come a board for wallpapers become a board for emotional support and life advice?<br>But anyway here&#039;s a pape and sorry about your dad, anon.', 'filename': '1628470416817', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670503303124303, 'time': 1670503303, 'md5': '8MsGc8rwy+3pEMwGEwXmGg==', 'fsize': 2029834, 'resto': 7927778}, {'no': 7950896, 'now': '12/09/22(Fri)04:22:52', 'name': 'Anonymous', 'com': 'If it was me i would go suicide in bora bora save myself the pain. There&#039;s plenty of painless poisons', 'time': 1670577772, 'resto': 7927778}, {'no': 7951113, 'now': '12/10/22(Sat)06:06:14', 'name': 'Anonymous', 'com': 'My father unexpectedly died five months ago at 56. It happened two weeks after a heart failure in the hospital and during those two weeks he was only able to talk to us once, then it got worse again.<br><br>I know it’s hard and not comparable, but take solace in and make use of the fact that you can say your proper goodbyes.', 'filename': 'E59A790E-661B-466D-A429-8A2AA65F99BD', 'ext': '.jpg', 'w': 1125, 'h': 1683, 'tn_w': 83, 'tn_h': 125, 'tim': 1670670374512657, 'time': 1670670374, 'md5': 'fZA7C+U5iI2ulA7uJWuTPQ==', 'fsize': 2394437, 'resto': 7927778}, {'no': 7951117, 'now': '12/10/22(Sat)06:17:53', 'name': 'Anonymous', 'com': '<a href=""#p7927809"" class=""quotelink"">&gt;&gt;7927809</a><br>It&#039;s like imgur but without the dog posting and rampant liberalism', 'time': 1670671073, 'resto': 7927778}]",1670671073,0.0,0.0,
6,7950838,,,12/08/22(Thu)17:46:13,Anonymous,Revolution,Something different,167053928986038085,.jpg,770,1080,178,250,1670539573245012,1670539573,bDmClhaFIP0T34LZxzhV7A==,68674,0,revolution,22,13,17.0,12.0,"[{'no': 7951047, 'now': '12/09/22(Fri)20:34:02', 'name': 'Anonymous', 'com': '<a href=""#p7950964"" class=""quotelink"">&gt;&gt;7950964</a><br><span class=""quote"">&gt;We will</span><br><span class=""quote"">&gt;We did</span><br>You did not do anything.', 'time': 1670636042, 'resto': 7950838}, {'no': 7951065, 'now': '12/09/22(Fri)22:03:59', 'name': 'Anonymous', 'com': '<a href=""#p7950844"" class=""quotelink"">&gt;&gt;7950844</a><br>this', 'filename': 'mussolini-afeminado-colores', 'ext': '.jpg', 'w': 738, 'h': 600, 'tn_w': 125, 'tn_h': 101, 'tim': 1670641439985966, 'time': 1670641439, 'md5': 'oYpW5p4DuT5hxUJC5UAdwQ==', 'fsize': 113565, 'resto': 7950838}, {'no': 7951075, 'now': '12/09/22(Fri)23:45:48', 'name': 'Anonymous', 'com': '<a href=""#p7950838"" class=""quotelink"">&gt;&gt;7950838</a><br>Gay', 'time': 1670647548, 'resto': 7950838}, {'no': 7951076, 'now': '12/09/22(Fri)23:47:13', 'name': 'Anonymous', 'com': '<a href=""#p7950882"" class=""quotelink"">&gt;&gt;7950882</a><br>Based<br><a href=""#p7950964"" class=""quotelink"">&gt;&gt;7950964</a><br>So cringe I nearly died', 'time': 1670647633, 'resto': 7950838}, {'no': 7951116, 'now': '12/10/22(Sat)06:15:37', 'name': 'Anonymous', 'com': '<a href=""#p7950838"" class=""quotelink"">&gt;&gt;7950838</a><br><a href=""#p7950844"" class=""quotelink"">&gt;&gt;7950844</a><br><a href=""#p7950882"" class=""quotelink"">&gt;&gt;7950882</a><br><a href=""#p7950898"" class=""quotelink"">&gt;&gt;7950898</a><br><a href=""#p7950964"" class=""quotelink"">&gt;&gt;7950964</a><br><a href=""#p7951065"" class=""quotelink"">&gt;&gt;7951065</a><br>Technically revolutions can be fascist right', 'time': 1670670937, 'resto': 7950838}]",1670670937,0.0,0.0,
7,7927309,,,08/29/22(Mon)09:39:58,Anonymous,Telephone thread,"Post a wallpaper that&#039;s somehow connected to the last wallpaper posted, either by characters, art style, a detail, a feeling, the ambiance, anything that&#039;s related. Be creative.<br><br>Continuing from the last thread <span class=""deadlink"">&gt;&gt;7906172</span><br><br>Starting with &#039;Old West theme&#039;",1661729709477004,.jpg,3870,2518,249,162,1661780398737023,1661780398,pEK1bBfto8VJ/OwJlusWlA==,900310,0,telephone-thread,219,203,214.0,199.0,"[{'no': 7949723, 'now': '12/03/22(Sat)07:18:01', 'name': 'RJUN', 'com': 'nice pic', 'time': 1670069881, 'resto': 7927309}, {'no': 7950821, 'now': '12/08/22(Thu)16:08:07', 'name': 'Anonymous', 'com': '<a href=""#p7949710"" class=""quotelink"">&gt;&gt;7949710</a><br>brown people', 'filename': '1646196711763', 'ext': '.jpg', 'w': 2000, 'h': 1291, 'tn_w': 125, 'tn_h': 80, 'tim': 1670533687265222, 'time': 1670533687, 'md5': 'BpszjUwJA0/z9nVbjfXfbQ==', 'fsize': 485885, 'resto': 7927309}, {'no': 7950981, 'now': '12/09/22(Fri)15:01:54', 'name': 'Anonymous', 'com': '<a href=""#p7950821"" class=""quotelink"">&gt;&gt;7950821</a><br>transportation, black people', 'filename': '1665762617642344', 'ext': '.jpg', 'w': 2301, 'h': 1455, 'tn_w': 125, 'tn_h': 79, 'tim': 1670616114525997, 'time': 1670616114, 'md5': 'YUxfASAm76whlmTSIVtCvg==', 'fsize': 526173, 'resto': 7927309}, {'no': 7951086, 'now': '12/10/22(Sat)01:04:41', 'name': 'Anonymous', 'com': '<a href=""#p7950981"" class=""quotelink"">&gt;&gt;7950981</a><br>manga art', 'filename': '135838438418', 'ext': '.png', 'w': 1920, 'h': 1295, 'tn_w': 125, 'tn_h': 84, 'tim': 1670652281616405, 'time': 1670652281, 'md5': 'f/LY9Ff8LpTew05uRTJ37g==', 'fsize': 156553, 'resto': 7927309}, {'no': 7951115, 'now': '12/10/22(Sat)06:12:40', 'name': 'Anonymous', 'com': '<a href=""#p7951086"" class=""quotelink"">&gt;&gt;7951086</a><br>smug ass smiles', 'filename': '4820842309570', 'ext': '.jpg', 'w': 2454, 'h': 1408, 'tn_w': 125, 'tn_h': 71, 'tim': 1670670760988028, 'time': 1670670760, 'md5': '8NsfBTaOMr7Yc2Q6lmUDYg==', 'fsize': 238540, 'resto': 7927309}]",1670670760,0.0,0.0,
8,7948936,,,11/29/22(Tue)17:17:25,Anonymous,Art,"Anything related to art.<br>Futurism is preffered, but it can be anything related to simple art.",1583627798912,.jpg,3000,2190,250,182,1669760245805401,1669760245,/42INPh2VjhzgFr2qavWKg==,631921,0,art,25,24,20.0,20.0,"[{'no': 7949355, 'now': '12/01/22(Thu)10:54:57', 'name': 'Anonymous', 'filename': '45', 'ext': '.jpg', 'w': 1280, 'h': 773, 'tn_w': 125, 'tn_h': 75, 'tim': 1669910097113316, 'time': 1669910097, 'md5': 'U6RgsTE549ucmXsPZ9b9/Q==', 'fsize': 308165, 'resto': 7948936}, {'no': 7949356, 'now': '12/01/22(Thu)10:55:28', 'name': 'Anonymous', 'filename': '29', 'ext': '.jpg', 'w': 1920, 'h': 1280, 'tn_w': 125, 'tn_h': 83, 'tim': 1669910128928059, 'time': 1669910128, 'md5': '0VYIzQ8WOpfulqFM3agthA==', 'fsize': 781975, 'resto': 7948936}, {'no': 7949357, 'now': '12/01/22(Thu)10:55:59', 'name': 'Anonymous', 'filename': '50', 'ext': '.jpg', 'w': 1246, 'h': 1500, 'tn_w': 103, 'tn_h': 125, 'tim': 1669910159994812, 'time': 1669910159, 'md5': 'A9OxyddkeZg2bkzIq7lG/g==', 'fsize': 133514, 'resto': 7948936}, {'no': 7950976, 'now': '12/09/22(Fri)14:34:30', 'name': 'Anonymous', 'filename': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpbSI6WyJcL2FydHdvcmtcL2ltYWdlRmlsZVwvbWF0aXNzZS1kYW5jZS0xOTEwLmpwZyIsInJlc2l6ZSwyMDAwLDIwMDAiXX0.pHoSeAFi8prSh6-P2cRPnPQn8lSLyP0h1CEXFgk-9o8', 'ext': '.png', 'w': 2000, 'h': 1342, 'tn_w': 125, 'tn_h': 83, 'tim': 1670614470918521, 'time': 1670614470, 'md5': 'ALZPVesNR3opUPwOqNy8YA==', 'fsize': 6002188, 'resto': 7948936}, {'no': 7951114, 'now': '12/10/22(Sat)06:12:02', 'name': 'Anonymous', 'com': '<a href=""#p7949043"" class=""quotelink"">&gt;&gt;7949043</a><br>Retro globohomo art', 'time': 1670670722, 'resto': 7948936}]",1670670722,0.0,0.0,
9,7951111,,,12/10/22(Sat)05:37:51,Anon,New PC - new pape,"Hello guys, looking for a new wallpaper for the pc I&#039;m building for myself. Looking for some kind of vintage cyberpunk-ish vibe but at the same style chill and clean. Something in the lines of evangelion or cowboy bebop aesthetics.<br><br>A/",28x89327dry11,.jpg,1920,1080,250,140,1670668671819071,1670668671,qG+RKqLfAPnhS/yJCoreiw==,556814,0,new-pc-new-pape,1,1,,,"[{'no': 7951112, 'now': '12/10/22(Sat)05:39:07', 'name': 'Anon', 'com': '2/', 'filename': 'peakpx', 'ext': '.jpg', 'w': 1888, 'h': 2838, 'tn_w': 83, 'tn_h': 124, 'tim': 1670668747267738, 'time': 1670668747, 'md5': 'v1LrJYCax4yeN8W9yw/cvw==', 'fsize': 752285, 'resto': 7951111}]",1670668747,0.0,0.0,
10,7947759,,,11/24/22(Thu)18:05:06,Anonymous,papes like this?,"wintery, urban, grainy photos",EX0xCdlWsAIxo3n,.jpg,1080,1349,200,250,1669331106289205,1669331106,wo5CeVBjdMOqIMmINGvwsg==,384612,0,papes-like-this,11,11,6.0,6.0,"[{'no': 7949344, 'now': '12/01/22(Thu)10:36:54', 'name': 'Anonymous', 'filename': '1649564688980', 'ext': '.jpg', 'w': 2048, 'h': 1153, 'tn_w': 125, 'tn_h': 70, 'tim': 1669909014049162, 'time': 1669909014, 'md5': 'QacJSNKG5UmOl9eD4Sa8Lw==', 'fsize': 905223, 'resto': 7947759}, {'no': 7949345, 'now': '12/01/22(Thu)10:37:44', 'name': 'Anonymous', 'filename': '1644173117658', 'ext': '.jpg', 'w': 1600, 'h': 1071, 'tn_w': 125, 'tn_h': 83, 'tim': 1669909064339168, 'time': 1669909064, 'md5': 'FcO36P8+SgRH7WGH5gWgDw==', 'fsize': 509878, 'resto': 7947759}, {'no': 7951000, 'now': '12/09/22(Fri)15:58:23', 'name': 'Anonymous', 'filename': '08', 'ext': '.jpg', 'w': 1540, 'h': 944, 'tn_w': 125, 'tn_h': 76, 'tim': 1670619503803822, 'time': 1670619503, 'md5': 'WUDwDQd6h0b1eOtuzkFNDA==', 'fsize': 362255, 'resto': 7947759}, {'no': 7951098, 'now': '12/10/22(Sat)02:34:02', 'name': 'Anonymous', 'com': 'Halp, someone here must have it, I&#039;m looking for a wallpaper with a Russian looking girl smoking a cigarette, with a blue ish tint to the background, pic related is a drawing of it, I can&#039;t find it anywhere', 'filename': 'Screenshot_20221210_143236_Instagram', 'ext': '.jpg', 'w': 1200, 'h': 1116, 'tn_w': 125, 'tn_h': 116, 'tim': 1670657642869429, 'time': 1670657642, 'md5': 'VKmc0DgtcRCyXMpars5v/g==', 'fsize': 345945, 'resto': 7947759}, {'no': 7951110, 'now': '12/10/22(Sat)05:25:32', 'name': 'Anonymous', 'filename': '80699007_459512834995020_5903752879897837568_n', 'ext': '.jpg', 'w': 720, 'h': 960, 'tn_w': 93, 'tn_h': 125, 'tim': 1670667932764113, 'time': 1670667932, 'md5': 'sY19P92BLxK7EQJ+P/jPuQ==', 'fsize': 207269, 'resto': 7947759}]",1670667932,0.0,0.0,
11,7949591,,,12/02/22(Fri)15:29:08,Anonymous,Morocco papes,been dreaming of going to Morocco. send your best papes,morocco,.jpg,820,1024,200,250,1670012948793552,1670012948,IHb1NlvjGvhGVHLrg4zatA==,259759,0,morocco-papes,7,6,2.0,1.0,"[{'no': 7950082, 'now': '12/04/22(Sun)19:11:19', 'name': 'Anonymous', 'filename': '1654226438393', 'ext': '.jpg', 'w': 3121, 'h': 2081, 'tn_w': 125, 'tn_h': 83, 'tim': 1670199079293889, 'time': 1670199079, 'md5': 'nTeprbEGH6BZv7BEHK9tUg==', 'fsize': 4438937, 'resto': 7949591}, {'no': 7950083, 'now': '12/04/22(Sun)19:11:54', 'name': 'Anonymous', 'filename': '1654435262511', 'ext': '.jpg', 'w': 2000, 'h': 1341, 'tn_w': 125, 'tn_h': 83, 'tim': 1670199114172211, 'time': 1670199114, 'md5': 'o2tQo53bswzl5LSrqLPmPA==', 'fsize': 949339, 'resto': 7949591}, {'no': 7951107, 'now': '12/10/22(Sat)04:43:42', 'name': 'Anonymous', 'filename': 'DSC05600', 'ext': '.jpg', 'w': 2560, 'h': 1600, 'tn_w': 125, 'tn_h': 78, 'tim': 1670665422886428, 'time': 1670665422, 'md5': 'cpGyUbY5mEj4BnsaKbnIQw==', 'fsize': 2062256, 'resto': 7949591}, {'no': 7951108, 'now': '12/10/22(Sat)04:53:30', 'name': 'Anonymous', 'filename': 'DSC05622', 'ext': '.jpg', 'w': 2560, 'h': 1600, 'tn_w': 125, 'tn_h': 78, 'tim': 1670666010639668, 'time': 1670666010, 'md5': '+i+0WeD1xk4zxK5nzzXHRw==', 'fsize': 1123428, 'resto': 7949591}, {'no': 7951109, 'now': '12/10/22(Sat)04:54:07', 'name': 'Anonymous', 'filename': 'DSC05795', 'ext': '.jpg', 'w': 2560, 'h': 1600, 'tn_w': 125, 'tn_h': 78, 'tim': 1670666047531355, 'time': 1670666047, 'md5': 'D66VCqsOAgLuofwhwpNUYw==', 'fsize': 901820, 'resto': 7949591}]",1670666047,0.0,0.0,
