,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images
0,1,1.0,1.0,12/20/15(Sun)07:21:09,Anonymous,Welcome to /wsr/ - Worksafe Requests,"This board is for:
<ul>
<li>Asking for help in finding an image or the source of an image, or more of a certain kind of image.</li>
<li>Asking for photoshop requests.</li>
<li>Asking for recommendations for a new anime or TV series to watch, or a new manga or comic series to read.</li>
<li>Asking for tech support or help with your homework.</li>
<li>Any other kind of work-safe request.</li>
</ul>
Once you have posted your request, please <a href=""https://boards.4chan.org/wsr/catalog"">check the catalog</a> for requests that you can help others with. <br>
All threads and images should pertain to &quot;work-safe&quot; material. For adult content please use <a href=""https://boards.4chan.org/r/"">/r/ - Requests</a> and for help with personal matters please use <a href=""https://boards.4chan.org/adv/"">/adv/ - Advice</a>.",wsr,.jpg,850,638,250,187,1450614069094,1450614069,uILud6oFylnlz6QfZpNBQA==,78567,0,mod,welcome-to-wsr-worksafe-requests,1,0,"[{'no': 279837, 'now': '03/13/17(Mon)10:41:19', 'name': 'Anonymous', 'com': '<p style=""color:#FF0000;font-size:150%;"">Do not post or request personal information (&quot;dox&quot;) or calls to invasion (&quot;raids&quot;).</p>\n<p><b>Personal army requests of any form are strictly forbidden.</b></p>\n<p style=""font-size:125%;"">WebM files with sound can now be uploaded!</p>', 'time': 1489416079, 'resto': 1, 'capcode': 'mod'}]",1489416085,,,,
1,1292915,,,12/10/22(Sat)22:49:56,Anonymous,Help Me Grow My Website.,"I made a website <a href=""//boards.4channel.org/his/thread/14306596#p14306596"" class=""quotelink"">&gt;&gt;&gt;/his/14306596</a><br>Basically it&#039;s a wiki where you can look people up and see everyone that they&#039;ve ever met, talked to, wrote to, etc.<br>When I told people on Discord about it they all thought at first that it was for doxxing people but it&#039;s not, it&#039;s only about famous or historical people. <br>Here&#039;s a mock-up article I wrote for Bertrand Russell (just know that I&#039;m still working on this site to make it better).<br><span class=""quote"">&gt;http://commercii.org/index.php/Ber<wbr>trand_Russell</span><br>Somebody also made one for William Byrd<br><span class=""quote"">&gt;https://commercii.org/index.php/Wi<wbr>lliam_Byrd</span><br>Please join the Discord too<br><span class=""quote"">&gt; https://discord.gg/F5PGzTFHxB</span><br>Also, please share your thoughts on it so that I can make it better.",BertrandRussell,.jpg,624,625,249,250,1670730596081370,1670730596,KOoXSDnX738O6QrSaMUttg==,38114,0,,help-me-grow-my-website,5,0,"[{'no': 1292917, 'now': '12/10/22(Sat)23:02:14', 'name': 'Anonymous', 'com': 'i would help you but im historically illiterate', 'time': 1670731334, 'resto': 1292915}, {'no': 1292919, 'now': '12/10/22(Sat)23:04:02', 'name': 'Anonymous', 'com': '<a href=""#p1292917"" class=""quotelink"">&gt;&gt;1292917</a><br>I think my website is so young that it almost doesn&#039;t even matter since we can just polish it all later down the line.', 'time': 1670731442, 'resto': 1292915}, {'no': 1292921, 'now': '12/10/22(Sat)23:05:29', 'name': 'Anonymous', 'com': 'You&#039;re going to have to do lots of the early work at the start unfortunately. Once people see that it&#039;s actually active with information they will help you.', 'time': 1670731529, 'resto': 1292915}, {'no': 1292930, 'now': '12/10/22(Sat)23:34:38', 'name': 'Anonymous', 'com': '<a href=""#p1292921"" class=""quotelink"">&gt;&gt;1292921</a><br>I see. I found some people who seem willing to help me but I think I could kill a weekend or two working on articles.', 'time': 1670733278, 'resto': 1292915}, {'no': 1293030, 'now': '12/11/22(Sun)07:10:01', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;it&#039;s only about famous or historical people.</span><br>what definitions of &quot;famous&quot; and &quot;historical&quot; are you using?', 'time': 1670760601, 'resto': 1292915}]",1670760601,0.0,0.0,,
2,1292803,,,12/10/22(Sat)17:15:12,Anonymous,What is AB with the haruhi ISO files,got told to post in in here. Now that the /a/ thread is locked I&#039;m unable to ask what the hell is AB. so does anyone in here know?,Screenshot 2022-12-10 230059,.jpg,1624,486,250,74,1670710512897698,1670710512,PPu1ivzY0iWXUSz7EERwEg==,153170,0,,what-is-ab-with-the-haruhi-iso-files,8,1,"[{'no': 1292857, 'now': '12/10/22(Sat)19:40:47', 'name': 'Anonymous', 'com': 'Do you need these files?', 'time': 1670719247, 'resto': 1292803}, {'no': 1292859, 'now': '12/10/22(Sat)19:45:30', 'name': 'Anonymous', 'com': '<a href=""#p1292803"" class=""quotelink"">&gt;&gt;1292803</a><br><span class=""quote"">&gt;what the hell is AB</span><br>https://animebytes.tv/<br>You aren&#039;t getting in. If you actually do want to get in you will have to join through RED (good luck with that, lmao).', 'time': 1670719530, 'resto': 1292803}, {'no': 1292986, 'now': '12/11/22(Sun)02:36:23', 'name': 'Anonymous', 'com': 'Seems like there is also bakabt which is easier to get into. can any user in here check if haruhi Isos are in there too', 'time': 1670744183, 'resto': 1292803}, {'no': 1292987, 'now': '12/11/22(Sun)02:45:44', 'name': 'Anonymous', 'com': '<a href=""#p1292986"" class=""quotelink"">&gt;&gt;1292986</a><br>Nope. Bakabt doesn&#039;t have isos on any of Haruhi releases posted, only ripped mkv files.', 'filename': 'Untitled', 'ext': '.jpg', 'w': 1421, 'h': 839, 'tn_w': 125, 'tn_h': 73, 'tim': 1670744744048196, 'time': 1670744744, 'md5': 'dpKYUjWUgCdcEWoZDykzLQ==', 'fsize': 410909, 'resto': 1292803}, {'no': 1293029, 'now': '12/11/22(Sun)07:03:31', 'name': 'Anonymous', 'com': 'it&#039;s frustrating that once an early &#039;00 anime gets a shitty blu-ray upscale, no one keeps the DVD around.', 'time': 1670760211, 'resto': 1292803}]",1670760211,0.0,0.0,3.0,0.0
3,1292901,,,12/10/22(Sat)22:32:23,Anonymous,,Would it be illegal to e-beg on twitter and lie about my situation? <br>ex. saying I&#039;m a struggling black trans woman (I&#039;m a white guy I just want some extra money lel)<br>Would I get in any legal/financial trouble for doing so?,sekrti,.png,1024,736,250,179,1670729543098673,1670729543,93qp7DMa1K1etawCYjoNAQ==,762093,0,,would-it-be-illegal-to-ebeg-on-twitter-and-lie,8,1,"[{'no': 1292980, 'now': '12/11/22(Sun)02:15:14', 'name': 'Anonymous', 'com': '<a href=""#p1292906"" class=""quotelink"">&gt;&gt;1292906</a><br><span class=""quote"">&gt;yes, textbook definition unironically</span><br>No. It&#039;s 2022, you may self identify as any gender/race/orientation you believe yourself to be, and these beliefs are not required to be permanent. You&#039;re assertion that this is fraud is a new crime in itself, worthy of social cancellation', 'time': 1670742914, 'resto': 1292901}, {'no': 1292981, 'now': '12/11/22(Sun)02:19:21', 'name': 'Anonymous', 'com': '<a href=""#p1292980"" class=""quotelink"">&gt;&gt;1292980</a><br>I want to say you&#039;re trolling but that sounds plausible in [current year]', 'filename': '1669954685958563', 'ext': '.gif', 'w': 250, 'h': 251, 'tn_w': 124, 'tn_h': 125, 'tim': 1670743161124321, 'time': 1670743161, 'md5': 'EGJ9EUxs9efuLgJ5WbdgAA==', 'fsize': 1022427, 'resto': 1292901}, {'no': 1293008, 'now': '12/11/22(Sun)05:36:38', 'name': 'Anonymous', 'com': '<a href=""#p1292901"" class=""quotelink"">&gt;&gt;1292901</a><br>I doubt anyone would sue you over it, unless you reveal yourself and act like a huge asshole to your donors (and even then, I doubt you&#039;d have to give any money back).', 'time': 1670754998, 'resto': 1292901}, {'no': 1293020, 'now': '12/11/22(Sun)06:20:34', 'name': 'Anonymous', 'com': 'don&#039;t do it, you don&#039;t need it. preserve your pride and learn to do something better. if you do things like fraud you will just degenerate mentally, it&#039;s simply not worth it.', 'time': 1670757634, 'resto': 1292901}, {'no': 1293028, 'now': '12/11/22(Sun)07:03:22', 'name': 'Anonymous', 'com': '<a href=""#p1293008"" class=""quotelink"">&gt;&gt;1293008</a><br>lots of people have gotten into legal trouble over fake ebegging.', 'time': 1670760202, 'resto': 1292901}]",1670760202,0.0,0.0,3.0,0.0
4,1292956,,,12/10/22(Sat)22:42:03,Anonymous,,"Funny RPG-related pics, please?",1670729282710668,.jpg,1716,1128,250,164,1670730123438331,1670730123,xawqBD+or74rdgIE4gRQQQ==,451156,0,,funny-rpgrelated-pics-please,8,4,"[{'no': 1292963, 'now': '12/11/22(Sun)01:04:02', 'name': 'Anonymous', 'com': '<a href=""#p1292958"" class=""quotelink"">&gt;&gt;1292958</a><br>What anime girl is this, she&#039;s cute', 'time': 1670738642, 'resto': 1292956}, {'no': 1292974, 'now': '12/11/22(Sun)02:02:45', 'name': 'Anonymous', 'com': '<a href=""#p1292963"" class=""quotelink"">&gt;&gt;1292963</a><br>pokemons', 'time': 1670742165, 'resto': 1292956}, {'no': 1293024, 'now': '12/11/22(Sun)06:30:22', 'name': 'Anonymous', 'com': '<a href=""#p1292956"" class=""quotelink"">&gt;&gt;1292956</a>', 'filename': 'dwarfpill', 'ext': '.png', 'w': 818, 'h': 535, 'tn_w': 125, 'tn_h': 81, 'tim': 1670758222383705, 'time': 1670758222, 'md5': 'NL2oM3Ax1CoiY0iFJuKJSw==', 'fsize': 623862, 'resto': 1292956}, {'no': 1293026, 'now': '12/11/22(Sun)06:59:39', 'name': 'Anonymous', 'com': '<a href=""#p1292956"" class=""quotelink"">&gt;&gt;1292956</a>', 'filename': '1653194302303', 'ext': '.png', 'w': 708, 'h': 494, 'tn_w': 125, 'tn_h': 87, 'tim': 1670759979648362, 'time': 1670759979, 'md5': 'bFzBw4ix9p05Ul/4sG0+rw==', 'fsize': 384777, 'resto': 1292956}, {'no': 1293027, 'now': '12/11/22(Sun)07:00:41', 'name': 'Anonymous', 'com': '<a href=""#p1293026"" class=""quotelink"">&gt;&gt;1293026</a>', 'filename': '1661809926043264', 'ext': '.png', 'w': 1088, 'h': 903, 'tn_w': 125, 'tn_h': 103, 'tim': 1670760041514186, 'time': 1670760041, 'md5': 'eY8bx5IZl2jD9+RDJuqG6A==', 'fsize': 765204, 'resto': 1292956}]",1670760041,0.0,0.0,3.0,1.0
5,1293025,,,12/11/22(Sun)06:52:45,Anonymous,,"I&#039;m looking for a file that contains a guide. (I think) this one had a magnet link with a collection of INMU-related videos, also had other stuff like useful software to elaborate MAD.",k(1),.webm,854,480,250,140,1670759565799167,1670759565,8s3qlFBlrNuTgno5R+5NBQ==,2246741,0,,im-looking-for-a-file-that-contains-a-guide-i,0,0,,1670759565,0.0,0.0,,
6,1292643,,,12/10/22(Sat)07:27:39,Anonymous,,is there anything like fire punch? <br>i have read it around 2 years ago or so and nothing can come close to it,EqAEahEXUAIT8_s,.jpg,2048,1468,250,179,1670675259767753,1670675259,i5Ylw/mPvf9C9RHkBTC5Zg==,907082,0,,is-there-anything-like-fire-punch,6,1,"[{'no': 1292666, 'now': '12/10/22(Sat)08:41:51', 'name': 'Anonymous', 'filename': 'eden', 'ext': '.jpg', 'w': 832, 'h': 1200, 'tn_w': 86, 'tn_h': 125, 'tim': 1670679711972662, 'time': 1670679711, 'md5': 'YF1FezeoDtyDlobJtQiYAw==', 'fsize': 254623, 'resto': 1292643}, {'no': 1292667, 'now': '12/10/22(Sat)08:59:07', 'name': 'Anonymous', 'com': '<a href=""#p1292665"" class=""quotelink"">&gt;&gt;1292665</a><br>i read a couple of chapters then stopped i don&#039;t remember why<br>should i pick it back up?', 'time': 1670680747, 'resto': 1292643}, {'no': 1292685, 'now': '12/10/22(Sat)09:56:28', 'name': 'Anonymous', 'com': '<a href=""#p1292667"" class=""quotelink"">&gt;&gt;1292667</a><br>Idk, do it if you want. I really enjoyed the gnostic themes, specifically Maya/Aletheia characters.', 'time': 1670684188, 'resto': 1292643}, {'no': 1292945, 'now': '12/11/22(Sun)00:11:59', 'name': 'Anonymous', 'com': '<a href=""#p1292643"" class=""quotelink"">&gt;&gt;1292643</a><br>The later parts of houseki no kuni felt similar to me', 'time': 1670735519, 'resto': 1292643}, {'no': 1293023, 'now': '12/11/22(Sun)06:27:08', 'name': 'Anonymous', 'com': '<a href=""#p1292945"" class=""quotelink"">&gt;&gt;1292945</a><br>I recommend this recommendation, houseki no kuni is great', 'time': 1670758028, 'resto': 1292643}]",1670758028,0.0,0.0,1.0,0.0
7,1292962,,,12/11/22(Sun)01:03:51,Anonymous,Drug Graph,"Hey /wsr/.<br><br>I saw an image of a graph that had many drugs measured by how life changing they were versus how beneficial they were, or something along those lines. Anyone have that image?",cope-department-calling,.jpg,720,1057,170,250,1670738631413862,1670738631,+9uQ0ncFoqTs2Tvq1fe2BA==,128118,0,,drug-graph,1,0,"[{'no': 1293022, 'now': '12/11/22(Sun)06:25:08', 'name': 'Anonymous', 'com': '<a href=""#p1292962"" class=""quotelink"">&gt;&gt;1292962</a><br>using drugs = being dependent on them. the better they feel, the bigger the pull for you to do it again. Why fentanyl addicts can&#039;t cure themselves? because the drug feels amazing, it&#039;s quite simple and that&#039;s all there is to it. <br><br>It&#039;s like masturbation, the first time you do it, you&#039;re almost completely bound to it for the rest of your life. So think well before taking *any* new drug.', 'time': 1670757908, 'resto': 1292962}]",1670757908,0.0,0.0,,
8,1293021,,,12/11/22(Sun)06:23:25,Anonymous,,"Hi !<br><br>So here is my motherboard, it only supports 1st and 2nd gen cpus. However, I want to change my CPU for an amd R5 4500...<br><br>Do I change my motherboard or do I take the risk and install this CPU ?",640121-15-great-uses-for-an-old-pc,.jpg,694,390,250,140,1670757805018932,1670757805,34tQnU/oiCXeccl/kAa+gg==,49551,0,,hi,0,0,,1670757805,0.0,0.0,,
9,1292725,,,12/10/22(Sat)13:17:23,Anonymous,,"looking for an epub mobi etc of The Journey to the West in Easy Chinese by jeff pepper. I have some of the first few books already from libgen, but not the rest<br><br>any other epub/mobi of a graded reader/simple chinese version of Journey to the West would be appreciated<br><br>the original version is free on kindle/online, but any other abridged Chinese version could be useful",file,.png,1631,2485,164,250,1670696243736746,1670696243,1VLzhw5ZhnuyZZolU11QCg==,962830,0,,looking-for-an-epub-mobi-etc-of-the-journey-to,2,0,"[{'no': 1292900, 'now': '12/10/22(Sat)22:22:23', 'name': 'Anonymous', 'com': 'there&#039;s also this version on kindle unlimited<br>https://www.amazon.com/Journey-West<wbr>-Rainbow-Chinese-Vocabulary-ebook/d<wbr>p/B0879B5SB5/<br><br>if someone has unlimited and can de-DRM it, i&#039;d appreciate it', 'time': 1670728943, 'resto': 1292725}, {'no': 1293019, 'now': '12/11/22(Sun)06:13:10', 'name': 'Anonymous', 'com': '<a href=""#p1292900"" class=""quotelink"">&gt;&gt;1292900</a><br>do you want to read for enjoyment or to learn chinese? anthony C. Yu made a supposedly great translation to English, it&#039;s available on Amazon. He is a native chinese speaker that spent many years on the States teaching at an university. Come january I will buy the book.', 'time': 1670757190, 'resto': 1292725}]",1670757190,0.0,0.0,,
10,1293018,,,12/11/22(Sun)06:11:44,Anonymous,Help me find this anime,I was watching an anime on anime network a few months ago about an older sister with a younger brother complex. the episodes i remember watching were one where the older sister dressed in a maid outfit and the other where she and her brother watched the ring together late at night.,boobs in return,.jpg,2047,2195,233,250,1670757104109351,1670757104,7+qM9D9mANgo/xAgQAX81Q==,302947,0,,help-me-find-this-anime,0,0,,1670757104,0.0,0.0,,
11,1292680,,,12/10/22(Sat)09:46:26,Anonymous,LEGENDARY/BOOK/FANTASY/RECS,"Specifically want something like the Earthsea trilogy, where the protag isn&#039;t some serial killer that has a 1000+ killstreak. Less killing, more self-growing, like Ged&#039;s story.<br><br>But all recs are acceptable.",ladylady,.jpg,1200,849,250,176,1670683586484516,1670683586,hwJIl4fdjRkyOAGpXD0IAQ==,1040286,0,,legendarybookfantasyrecs,4,1,"[{'no': 1292687, 'now': '12/10/22(Sat)10:15:10', 'name': 'Anonymous', 'filename': 'fantasy18693', 'ext': '.jpg', 'w': 2090, 'h': 4926, 'tn_w': 53, 'tn_h': 124, 'tim': 1670685310238336, 'time': 1670685310, 'md5': 'c/DrwqH6BwJUGQgMLItMvg==', 'fsize': 3197644, 'resto': 1292680}, {'no': 1292689, 'now': '12/10/22(Sat)10:26:07', 'name': 'Anonymous', 'com': '<a href=""#p1292687"" class=""quotelink"">&gt;&gt;1292687</a><br>what are your favorites on this list?', 'time': 1670685967, 'resto': 1292680}, {'no': 1292698, 'now': '12/10/22(Sat)11:03:11', 'name': 'Anonymous', 'com': '<a href=""#p1292689"" class=""quotelink"">&gt;&gt;1292689</a><br>i haven&#039;t read very many but a voyage to arcturus, chronicles of the black company, and conan are my favorites.', 'time': 1670688191, 'resto': 1292680}, {'no': 1293017, 'now': '12/11/22(Sun)06:09:24', 'name': 'Anonymous', 'com': '<a href=""#p1292698"" class=""quotelink"">&gt;&gt;1292698</a><br>nice, thanks. also bump', 'time': 1670756964, 'resto': 1292680}]",1670756964,0.0,0.0,,
12,1293016,,,12/11/22(Sun)06:08:26,Anonymous,,Can anyone solve this problem?,perm,.jpg,2610,404,250,38,1670756906793900,1670756906,9d7m3g1OKT8r061/dioX6g==,523416,0,,can-anyone-solve-this-problem,0,0,,1670756906,0.0,0.0,,
13,1292532,,,12/09/22(Fri)21:42:01,Anonymous,,Give me a good username. Maybe reference a 4chan meme? I don&#039;t want it too on-the-nose though.,Yakub,.png,402,600,167,250,1670640121379175,1670640121,se0ODkCR5rcv9bRlfPVTeg==,166300,0,,give-me-a-good-username-maybe-reference-a-4chan,13,0,"[{'no': 1292768, 'now': '12/10/22(Sat)15:36:31', 'name': 'Anonymous', 'com': '<a href=""#p1292532"" class=""quotelink"">&gt;&gt;1292532</a><br>toom', 'time': 1670704591, 'resto': 1292532}, {'no': 1292870, 'now': '12/10/22(Sat)20:18:57', 'name': 'Anonymous', 'com': 'Baitamaximus.', 'time': 1670721537, 'resto': 1292532}, {'no': 1292871, 'now': '12/10/22(Sat)20:24:19', 'name': 'Anonymous', 'com': '<a href=""#p1292532"" class=""quotelink"">&gt;&gt;1292532</a><br>Noko McSage', 'time': 1670721859, 'resto': 1292532}, {'no': 1293012, 'now': '12/11/22(Sun)05:55:37', 'name': 'Anonymous', 'com': '<a href=""#p1292532"" class=""quotelink"">&gt;&gt;1292532</a><br>Amir_CarBreaker', 'time': 1670756137, 'resto': 1292532}, {'no': 1293015, 'now': '12/11/22(Sun)06:01:22', 'name': 'Anonymous', 'com': 'Rocky Reflex', 'time': 1670756482, 'resto': 1292532}]",1670756482,0.0,0.0,8.0,0.0
14,1292715,,,12/10/22(Sat)12:19:15,Anonymous,,"Does anyone know the source of music in this video at 1:25, and also at the ending 8:00<br>Shazam is not picking it up<br>The youtober ignores me<br>https://www.youtube.com/watch?v=_yM<wbr>aclr6yhQ",DVdSkn3izfpamCqbSFFyIJpoLoeRGohpUhkpOyAd5p0jWV7jVRqS30JQ7orlt83lZDC_-tLKQAIIOXeuaZFSI3VV,.jpg,1343,1619,207,250,1670692755001253,1670692755,SBzTwPLvwkWYKRHtfITKYQ==,193489,0,,does-anyone-know-the-source-of-music-in-this,2,0,"[{'no': 1292810, 'now': '12/10/22(Sat)17:33:49', 'name': 'Anonymous', 'com': '<a href=""#p1292715"" class=""quotelink"">&gt;&gt;1292715</a>', 'time': 1670711629, 'resto': 1292715}, {'no': 1293014, 'now': '12/11/22(Sun)06:00:55', 'name': 'Anonymous', 'com': '<a href=""#p1292810"" class=""quotelink"">&gt;&gt;1292810</a>', 'time': 1670756455, 'resto': 1292715}]",1670756455,0.0,0.0,,
15,1292635,,,12/10/22(Sat)06:54:02,Anonymous,,Name me some novels and vidya (including mods or DLC) that take place in pre-WW2 Australia. The only thing I can name is that scenario DLC for Civ 6.,main-qimg-dc14af3a9ca8bf543579dc756cf4f249,.png,624,400,250,160,1670673242559288,1670673242,sX3sQIYVWcfMEFnMAClC4w==,15749,0,,name-me-some-novels-and-vidya-including-mods-or,2,0,"[{'no': 1293010, 'now': '12/11/22(Sun)05:48:44', 'name': 'Anonymous', 'com': 'bump', 'time': 1670755724, 'resto': 1292635}, {'no': 1293013, 'now': '12/11/22(Sun)05:58:26', 'name': 'Anonymous', 'com': 'https://standardebooks.org/ebooks/j<wbr>oseph-furphy/such-is-life<br>https://standardebooks.org/ebooks/k<wbr>atharine-susannah-prichard/the-blac<wbr>k-opal<br>https://standardebooks.org/ebooks/m<wbr>iles-franklin/my-brilliant-career<br>https://standardebooks.org/ebooks/a<wbr>nthony-trollope/harry-heathcote-of-<wbr>gangoil<br>https://standardebooks.org/ebooks/r<wbr>olf-boldrewood/robbery-under-arms<br>https://standardebooks.org/ebooks/h<wbr>enry-lawson/while-the-billy-boils<br>https://standardebooks.org/ebooks/f<wbr>ergus-hume/the-mystery-of-a-hansom-<wbr>cab<br>https://standardebooks.org/ebooks/g<wbr>uy-boothby/a-bid-for-fortune<br>https://standardebooks.org/ebooks/b<wbr>anjo-paterson/an-outback-marriage', 'time': 1670756306, 'resto': 1292635}]",1670756306,0.0,0.0,,
16,1292658,,,12/10/22(Sat)08:00:26,Anonymous,,can anyone help with removing the background of the gif so it&#039;s just Kobeni and Power dancing,cee,.gif,484,304,249,157,1670677226454432,1670677226,5hqSAi8hHTaHjju56S70ig==,3070848,0,,can-anyone-help-with-removing-the-background-of,3,1,"[{'no': 1292771, 'now': '12/10/22(Sat)15:44:56', 'name': 'Anonymous', 'com': '<a href=""#p1292658"" class=""quotelink"">&gt;&gt;1292658</a>', 'filename': '04af7aa1bf431ef169a5fa3fc7687cd9', 'ext': '.gif', 'w': 484, 'h': 304, 'tn_w': 124, 'tn_h': 78, 'tim': 1670705096808757, 'time': 1670705096, 'md5': 'w6wJJqVCThB6ckktW0a+QQ==', 'fsize': 92001, 'resto': 1292658}, {'no': 1292966, 'now': '12/11/22(Sun)01:26:30', 'name': 'Anonymous', 'com': '<a href=""#p1292771"" class=""quotelink"">&gt;&gt;1292771</a><br>Nice', 'time': 1670739990, 'resto': 1292658}, {'no': 1293011, 'now': '12/11/22(Sun)05:51:42', 'name': 'Anonymous', 'com': '<a href=""#p1292771"" class=""quotelink"">&gt;&gt;1292771</a><br>thank you!', 'time': 1670755902, 'resto': 1292658}]",1670755902,0.0,0.0,,
17,1292799,,,12/10/22(Sat)17:10:18,Anonymous,Joy-Con Help,"Before any of you idiots proceed to call me a Onions, this is my Cousin&#039;s switch, his parents gifted him a (Refurbished) Nintendo Switch for his birthday a few months ago, he recently bought Mario Party and wanted to play but then the Joy-Cons didn&#039;t &quot;split&quot;, AKA we couldn&#039;t use them individually, nor connect them to an external source (Like a phone or PC), however while using them together it all seems fine but the LEDs don&#039;t light up (According to him they lit up back when he unboxed it)<br>So are the Joy-Cons just fucked? Is there a DIY solution to this? I don&#039;t want to gift him new Joy-Cons for Xmas",JoyConProblem,.jpg,4000,1800,250,112,1670710218504527,1670710218,R6aE3tdpJnU2T/VTZR32Sg==,249336,0,,joycon-help,3,1,"[{'no': 1292806, 'now': '12/10/22(Sat)17:22:18', 'name': 'Anonymous', 'com': '<a href=""#p1292799"" class=""quotelink"">&gt;&gt;1292799</a><br>Probably need new batteries, the Switch powers the joycons when they&#039;re clicked on.<br>https://www.ifixit.com/Guide/Joy-Co<wbr>n+Battery+Replacement/113634', 'time': 1670710938, 'resto': 1292799}, {'no': 1292808, 'now': '12/10/22(Sat)17:31:03', 'name': 'Anonymous', 'com': '<a href=""#p1292806"" class=""quotelink"">&gt;&gt;1292806</a><br>Sorry Anon but that isn&#039;t it, I don&#039;t think its a battery thing because according to him he can play just fine when having it docked, the problem comes when trying to use them individually (One Con per playa) and trying to connect them to other devices where it straight up doesn&#039;t show up despite of how hard he presses the Sync button', 'filename': 'JoyConProblem2', 'ext': '.jpg', 'w': 4624, 'h': 2084, 'tn_w': 125, 'tn_h': 56, 'tim': 1670711463136300, 'time': 1670711463, 'md5': 'odt+fRq1/8lkk1YoUj34AQ==', 'fsize': 424063, 'resto': 1292799}, {'no': 1293007, 'now': '12/11/22(Sun)04:41:42', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;refurbished</span><br><span class=""quote"">&gt;doesn&#039;t work right</span><br><span class=""quote"">&gt;shocking</span>', 'time': 1670751702, 'resto': 1292799}]",1670751702,0.0,0.0,,
18,1293006,,,12/11/22(Sun)04:41:27,Anonymous,Anime/Politican Photoshop edit,"Hello /wsr/ I would like a Photoshop of one of the Girls und Panzer girls it can be any of them (preferably Yukari) with politicians like Vladimir Putin, Donald Trump, Xi Jinping or Viktor Orbán funny individuals like that. Try and make it sort of cute-looking, but feel free to do what you like with how it is made, thank in advance.",Yukari,.jpg,184,184,184,184,1670751687062559,1670751687,whKUfPRFdn5hUCXqH1ob7Q==,14086,0,,animepolitican-photoshop-edit,0,0,,1670751687,0.0,0.0,,
19,1292813,,,12/10/22(Sat)17:39:05,Anonymous,Online stores for an adult capsule wardrobe,I&#039;m looking for the basics. I have bunch of clothes that don&#039;t fit or they are faded or shunk. Thank you.,1652248931829,.png,777,777,250,250,1670711945138945,1670711945,1T/8jBE39oonJdyReauQlg==,17589,0,,online-stores-for-an-adult-capsule-wardrobe,1,0,"[{'no': 1293005, 'now': '12/11/22(Sun)04:38:59', 'name': 'Anonymous', 'com': '<a href=""#p1292813"" class=""quotelink"">&gt;&gt;1292813</a><br><span class=""quote"">&gt;adult capsule wardrobe</span><br>Da fuck is that?', 'time': 1670751539, 'resto': 1292813}]",1670751539,0.0,0.0,,
20,1292814,,,12/10/22(Sat)17:43:21,Anonymous,Custom print pillows,Looking to get a custom pillow as a gift.<br>No reviews so not sure which sites are good and which are going to give me bad quality images on lame pillows.<br>Anyone got a place the recommend?,1668128557059,.jpg,2250,3000,187,250,1670712201867994,1670712201,9xE9KPAY6XWx6mQXm/I5ZA==,749913,0,,custom-print-pillows,1,0,"[{'no': 1293004, 'now': '12/11/22(Sun)04:37:16', 'name': 'Anonymous', 'com': 'reviews<br>https://www.etsy.com/search?q=custo<wbr>m+pillow&amp;explicit=1&amp;is_personalizab<wbr>le=true', 'time': 1670751436, 'resto': 1292814}]",1670751436,0.0,0.0,,
21,1293003,,,12/11/22(Sun)04:29:21,Anonymous,Can someone add digits...,..for a get game on this image?,1670149115314205,.jpg,1808,1590,250,219,1670750961886511,1670750961,uHgR12WT2807yrgTl00pZg==,1252845,0,,can-someone-add-digits,0,0,,1670750961,0.0,0.0,,
22,1292995,,,12/11/22(Sun)03:38:56,Anonymous,GameCube emulator,"Please explain how GameCube emulators work to me as if I&#039;m a fucking retard. I really want to record one scene in Geist.<br><br>I downloaded Dolphin,<br>https://dolphin-emu.org/download/<br>I downloaded two Geist roms from different sites,<br>https://roms-download.com/roms/game<wbr>cube/geist-usa<br>https://www.romsgames.net/gamecube-<wbr>rom-geist/<br>but when I tried to open them with Dolphin, it loaded for a millisecond, and nothing happened. I can&#039;t even get it to launch.",Geist,.jpg,800,1145,174,250,1670747936314342,1670747936,w9ktRNDRCAcUD5my822D1w==,149270,0,,gamecube-emulator,3,0,"[{'no': 1292998, 'now': '12/11/22(Sun)04:02:05', 'name': 'Anonymous', 'com': '<a href=""#p1292995"" class=""quotelink"">&gt;&gt;1292995</a><br>https://wiki.dolphin-emu.org/index.<wbr>php?title=Geist', 'time': 1670749325, 'resto': 1292995}, {'no': 1293001, 'now': '12/11/22(Sun)04:06:04', 'name': 'Anonymous', 'com': '<a href=""#p1292998"" class=""quotelink"">&gt;&gt;1292998</a><br>Yeah I looked at that and it doesn&#039;t explain my issue anywhere.', 'time': 1670749564, 'resto': 1292995}, {'no': 1293002, 'now': '12/11/22(Sun)04:23:47', 'name': 'Anonymous', 'com': '<a href=""#p1293001"" class=""quotelink"">&gt;&gt;1293001</a><br>So you tried changing the aspect ratio to auto?<br>You can also try another rom that has a high compatibility with dolphin.<br>What are your pc specs?', 'time': 1670750627, 'resto': 1292995}]",1670750627,0.0,0.0,,
