,no,sticky,closed,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,id,capcode,semantic_url,replies,images,last_modified,sub,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies,trip
0,17318579,1.0,1.0,09/02/13(Mon)16:58,Anonymous,"1. All camming, 'rate me', meet-up, 'report in', etc, threads welcome.<br>2. All posters must be 18+.<br>3. No random porn dumps. Post pictures of yourself!<br>4. No asking for drug hookups.<br>5. Don't make duplicate threads. Use the <a href=""https://boards.4chan.org/soc/catalog"">catalog</a> (try the search feature). <br>6. No contactfagging.<br>7. No signfagging.<br>8. No paywhoring, begging, or soliciting.<br>9. Guys, don't post your pics in girl-only threads (and vice versa).<br>10. Be respectful to each other.",catalog,.jpg,500,500,250,250,1378155513893,1378155513,g3jdy0BE0u2mhKctpeIu9w==,210129,0,Mod,mod,1-all-camming-rate-me-meetup-report-in-etc,0,0,1378155526,,,,,,,
1,31741470,,,12/05/22(Mon)01:50:37,Anonymous,"Can&#039;t find one of these live so starting a new one.<br>Hungry for real girls, gfs, wives, friends, relatives etc. Feed me them to enjoy. 33 m UK.<br>Kik RonGDewingsNS<br>Wickr rondewings",1668328982532123,.jpg,1062,707,249,166,1670223037496895,1670223037,1lx2V80uUby8C3agrx/X8Q==,139629,0,1zZxPLnV,,cuck-and-bull-thread,455,83,1670847329,Cuck and bull thread,0.0,0.0,450.0,82.0,"[{'no': 31757592, 'now': '12/12/22(Mon)05:37:34', 'name': 'Anonymous', 'com': '22 m from Aus.<br>Fit hung bloke willing to chat, do tribs and jerk vids for cucks hmu<br>Timbayson2900', 'filename': '1670756597696469', 'ext': '.jpg', 'w': 3120, 'h': 4160, 'tn_w': 93, 'tn_h': 125, 'tim': 1670841454540493, 'time': 1670841454, 'md5': 'tZKBLzX3OgGeIz9F0mTZTg==', 'fsize': 2651399, 'resto': 31741470, 'id': 'AqjU8NZ7'}, {'no': 31757627, 'now': '12/12/22(Mon)06:09:03', 'name': 'Anonymous', 'com': 'Lemme tribute and cum all over your wife/gf/mom/sis<br>Kik : henryaso', 'time': 1670843343, 'resto': 31741470, 'id': 'HkLLfBwO'}, {'no': 31757690, 'now': '12/12/22(Mon)07:11:29', 'name': 'Anonymous', 'com': 'Looking for someone to cum on my buddys girlfriends face! Shes 18 and has freckles and big titties, will make it worth your while!<br><br>BelowAverageDick2', 'time': 1670847089, 'resto': 31741470, 'id': 'c5NYYKml'}, {'no': 31757691, 'now': '12/12/22(Mon)07:12:53', 'name': 'Anonymous', 'com': 'Cucks expose your girl to me while you give up control Tg; Jon99s', 'time': 1670847173, 'resto': 31741470, 'id': 'h8dzOAIl'}, {'no': 31757693, 'now': '12/12/22(Mon)07:15:29', 'name': 'Anonymous', 'com': 'Kik is grntxr<br><br>Expose your girls to me and help me get off to them<br><br>Send me your gf/wife and we can talk about her while i get off to her.<br><br>Will keep everything private.', 'time': 1670847329, 'resto': 31741470, 'id': 'gkghLrda'}]",
2,31757689,,,12/12/22(Mon)07:11:13,Anonymous,Ill do privat tribs on Discord:<br><br>RunningChinchilla#7195<br><br>Only OC<br>highly prefer privat pics,DSC00003,.jpg,1637,3232,126,250,1670847073396362,1670847073,D9tLzkKy1GpXface53wfnw==,626505,0,lnLuECLQ,,tributing-on-discord,0,0,1670847073,Tributing on Discord,0.0,0.0,,,,
3,31747425,,,12/07/22(Wed)19:50:25,Anonymous,"Special for all of those who live in Europe or are about to visit and are looking for friendship or relationship<br><br><span class=""quote"">&gt;asl</span><br>20 M England<br><span class=""quote"">&gt;interests</span><br>fashion, anime, alternative music, gaming, military, paranormal, history, biz, politics, gym, combat sports, crafting, cooking, music making, game deving, sk8<br><span class=""quote"">&gt;looking for</span><br>Relationship, mainly looking for a clingy short gf, around 18-22 yo that lives in England and is white or east Asian <br><span class=""quote"">&gt;not looking for</span><br>Guys and beta orbiter collectors <br><span class=""quote"">&gt;contacts</span><br>Siv#6040",images,.jpg,663,463,250,174,1670460625398591,1670460625,3k5fpz0WlPPLF3NcmzOnrw==,58211,0,NobJuurJ,,europe-sfw-thread,33,5,1670847040,Europe SFW Thread,0.0,0.0,28.0,5.0,"[{'no': 31756208, 'now': '12/11/22(Sun)15:47:11', 'name': 'Anonymous', 'com': '<a href=""#p31756177"" class=""quotelink"">&gt;&gt;31756177</a><br><br>noggie#2729', 'time': 1670791631, 'resto': 31747425, 'id': 'T7g0TZC5'}, {'no': 31757502, 'now': '12/12/22(Mon)04:21:18', 'name': 'Anonymous', 'com': '<a href=""#p31751616"" class=""quotelink"">&gt;&gt;31751616</a><br>Jo, mein Kik: Fabi_x00', 'time': 1670836878, 'resto': 31747425, 'id': 'W8q3x/fJ'}, {'no': 31757549, 'now': '12/12/22(Mon)05:00:53', 'name': 'Anonymous', 'com': 'croatian/18/m<br><br>idk im bored af and it would be cool to talk to someone in not just english yk? english is accepted too tho<br><br>snap: jumping_coffin', 'time': 1670839253, 'resto': 31747425, 'id': 'o/nIGt7J'}, {'no': 31757679, 'now': '12/12/22(Mon)06:58:49', 'name': 'Anonymous', 'com': '<a href=""#p31751616"" class=""quotelink"">&gt;&gt;31751616</a><br>BrainYogurt#6019', 'time': 1670846329, 'resto': 31747425, 'id': 'Liap0Mef'}, {'no': 31757688, 'now': '12/12/22(Mon)07:10:40', 'name': 'Anonymous', 'com': 'these are some of the worst posts i&#039;ve seen, this is why i&#039;d rather ruin my sleep schedule and talk to americans', 'time': 1670847040, 'resto': 31747425, 'id': 'PNH3Cw1C'}]",
4,31757329,,,12/12/22(Mon)02:09:38,Anonymous,"Post age and what u want. The nastier the better <br>Personally, I loooove chatting with older, pervy Daddies I looove the idea of men teaching me that I&#039;m just a little hole, until im skipping class to play with Daddy at the park Until I&#039;m bouncing on the toy inside Daddy&#039;s closet, keeping quiet so the police don&#039;t hear me while they look for me Until Daddy makes me watch my parents crying on the news while he fills me up, whispering how he&#039;s gonna adopt me so no one will ever find out where I came from <br><br>Daddies like this, hmu!<br><br>Wickr is fagboyye",Wickr_Logo_full-700x700,.png,700,700,250,250,1670828978208839,1670828978,4lbHfzkHNUPEljsYuYXp3A==,22318,0,zR4MspB5,,gay-wickr-thread,17,4,1670846706,Gay Wickr thread,0.0,0.0,12.0,4.0,"[{'no': 31757603, 'now': '12/12/22(Mon)05:47:18', 'name': 'Anonymous', 'com': 'Trading hentai, twinks, furs <br>Wickr mikeykayde', 'time': 1670842038, 'resto': 31757329, 'id': '1hOlg57y'}, {'no': 31757611, 'now': '12/12/22(Mon)05:57:37', 'name': 'Anonymous', 'com': 'Voice chat with me, close to cumming<br><br>drenogo', 'time': 1670842657, 'resto': 31757329, 'id': '3gsMP95v'}, {'no': 31757619, 'now': '12/12/22(Mon)06:04:22', 'name': 'Anonymous', 'com': 'Shelldoors<br>22/f drunk and horny', 'time': 1670843062, 'resto': 31757329, 'id': 'Fn0q4H/V'}, {'no': 31757652, 'now': '12/12/22(Mon)06:32:20', 'name': 'Anonymous', 'com': '22m, going to work soon with a hard cock, be around all day to chat/trade anything, bonus for anything public/creep/family. Make me stroke at the office. <br><br>Strknghrd', 'time': 1670844740, 'resto': 31757329, 'id': '5nbDfgRU'}, {'no': 31757686, 'now': '12/12/22(Mon)07:05:06', 'name': 'Anonymous', 'com': 'Bikini sluts peto666f', 'time': 1670846706, 'resto': 31757329, 'id': 'sQepmEeI'}]",
5,31747150,,,12/07/22(Wed)17:04:47,Anonymous,"Last thread was died let&#039;s start new:<br><span class=""quote"">&gt;ASL</span><br><span class=""quote"">&gt;What you looking at</span><br><span class=""quote"">&gt;What you not looking at</span><br><span class=""quote"">&gt;Link</span>",20221208_000013,.jpg,454,307,249,169,1670450687644266,1670450687,5UGXYAPVoRbsx+GwrfMDXQ==,28522,0,JukmY8aZ,,telegram-thread,70,7,1670846706,Telegram Thread,0.0,0.0,65.0,6.0,"[{'no': 31757316, 'now': '12/12/22(Mon)01:48:52', 'name': 'Anonymous', 'com': 'Looking for fakes or tributes of 2 friends (non nude) go join these channels and post what you are capable of in the comments :<br>https://t.me/alix_pics<br>https://t.me/estelle_pics', 'time': 1670827732, 'resto': 31747150, 'id': 'EdK5uGY6'}, {'no': 31757540, 'now': '12/12/22(Mon)04:51:27', 'name': 'Anonymous', 'com': 'A telegram group about tricking our capitalistic system and stealing from corporations, living as free as possible, innawood survivalist guerillapilled. Become unemployable by joining us t.me/waggiesupportsecret or search @waggiesupportsecret on telegram<br><br>Need kxrmore based members there rn', 'time': 1670838687, 'resto': 31747150, 'id': 'I3/FW/eQ'}, {'no': 31757558, 'now': '12/12/22(Mon)05:11:55', 'name': 'Anonymous', 'com': 'Send loli, shota, trap and beast hentai. No scat, no gore. Nudes welcome, dickpics on request.<br><br>LorelessVictory', 'time': 1670839915, 'resto': 31747150, 'id': 'nslLZlNp'}, {'no': 31757657, 'now': '12/12/22(Mon)06:35:48', 'name': 'Anonymous', 'com': 'https://t.me/+79619003824<br>19/M/Hungary<br><br>Looking for (biofem) girls aged 18-25 to chat with, possibly meet up if you’re close or I really like you<br><br>Not looking for sluts, one-sided convos, trans, femboy<br><br>Bonus points if you’re a furry, dabble in drugs, have opinions not many would dare express, I prefer the company of weirdos.', 'filename': '87635084-3526-4BAD-B057-C1434B1A8EB3', 'ext': '.jpg', 'w': 657, 'h': 657, 'tn_w': 125, 'tn_h': 125, 'tim': 1670844948750530, 'time': 1670844948, 'md5': 'Z3jl8zYG1qbDqNpWz5G3UQ==', 'fsize': 73619, 'resto': 31747150, 'id': 'aC4qYumx'}, {'no': 31757685, 'now': '12/12/22(Mon)07:05:06', 'name': 'Anonymous', 'com': 'Cucks expose your girls to me while you give up control over her Jon99s', 'time': 1670846706, 'resto': 31747150, 'id': 'VA6d6YYG'}]",
6,31757431,,,12/12/22(Mon)03:27:24,Anonymous,"A telegram group about tricking our capitalistic system and stealing from corporations, living as free as possible, innawood survivalist guerillapilled. Become unemployable by joining us t.me/waggiesupportsecret or search @waggiesupportsecret on telegram<br><br>Need more based members there rn",E5F752C5-1063-44AF-84A8-E2E9F687ABDC,.jpg,564,564,249,249,1670833644365339,1670833644,qaJWo4DAcNaF/ut7JxbxIg==,64750,0,Ez3IZaDt,,a-telegram-group-about-tricking-our-capitalistic,2,0,1670846680,,0.0,0.0,,,"[{'no': 31757534, 'now': '12/12/22(Mon)04:48:30', 'name': 'Anonymous', 'com': 'bump', 'time': 1670838510, 'resto': 31757431, 'id': 'Ez3IZaDt'}, {'no': 31757684, 'now': '12/12/22(Mon)07:04:40', 'name': 'Anonymous', 'com': 'Who the hell came up with that bullshit diagram', 'time': 1670846680, 'resto': 31757431, 'id': 'QJurZF/v'}]",
7,31752577,,,12/10/22(Sat)03:52:59,Anonymous,dirty snap thread<br><br>new one hit bump limit,R,.png,512,512,250,250,1670662379632396,1670662379,8C74X5FWEEJ0BCoM8P2pBg==,16094,0,HUXq//IR,,dirty-snap-thread,103,15,1670846649,,0.0,0.0,98.0,13.0,"[{'no': 31757522, 'now': '12/12/22(Mon)04:38:37', 'name': 'Anonymous', 'com': 'Charliesjourney - snap me to see my girls juicy titties', 'time': 1670837917, 'resto': 31752577, 'id': 'fYZ6Mvnb'}, {'no': 31757560, 'now': '12/12/22(Mon)05:14:02', 'name': 'Anonymous', 'com': 'Celestin-roi <br>21 m bwc uncut (near 9 inch)', 'filename': '19120e67-882d-4558-b7a0-a08d58f7121a', 'ext': '.jpg', 'w': 540, 'h': 720, 'tn_w': 93, 'tn_h': 125, 'tim': 1670840042109670, 'time': 1670840042, 'md5': 'U0zPy8RnhK+7+ww42TKVCg==', 'fsize': 40515, 'resto': 31752577, 'id': 'H4AgX1KM'}, {'no': 31757659, 'now': '12/12/22(Mon)06:36:39', 'name': 'Anonymous', 'com': '22m, going to work soon hard as a rock. Be around all day, let&#039;s chat/trade anything, make me stroke at the office, happy to show off from anywhere<br><br>Spirit227718', 'time': 1670844999, 'resto': 31752577, 'id': '3AUXtgE8'}, {'no': 31757682, 'now': '12/12/22(Mon)07:02:55', 'name': 'Anonymous', 'com': 'M22 looking for women +18 to sext for fun ;)<br>snap: JustTesting3500<br>kik: JustTesting4500', 'time': 1670846575, 'resto': 31752577, 'id': 'hZE3o9/3'}, {'no': 31757683, 'now': '12/12/22(Mon)07:04:09', 'name': 'Anonymous', 'com': 'Greece 30male more top 20cm cock otter/slim . Add me hot guys (slim otter muscle) I verify everyone by asking a pic eg put finger on left nipple . No weirdo catfish psychos.<br><br>Like big cocks nipples training shorts<br><br>Snap name justaguy993<br><br><br>Posting a guy I fuckd from Israel', 'filename': 'Screenshot_20221202-232841', 'ext': '.png', 'w': 1080, 'h': 2520, 'tn_w': 53, 'tn_h': 125, 'tim': 1670846649784300, 'time': 1670846649, 'md5': 'fVsx79oyfZVHLtulXaIn8w==', 'fsize': 811776, 'resto': 31752577, 'id': 'K/U1gyEk'}]",
8,31727942,,,11/29/22(Tue)10:03:17,Anonymous,make relationships or a friend based on your weird sex thing. &gt;Asl &gt;kinks &gt;looking for &gt;not looking for &gt;contact info,FeKEHA7acAAtenL,.jpg,1505,2676,140,250,1669734197993023,1669734197,ZT/d5uwQXKfkp3a0x6SNFw==,660317,0,nMbVt9M4,,freshier-fucked-up-fetish-thread,496,88,1670846507,Freshier Fucked Up Fetish Thread:,0.0,0.0,491.0,88.0,"[{'no': 31757482, 'now': '12/12/22(Mon)04:07:46', 'name': 'Anonymous', 'com': '<a href=""#p31743108"" class=""quotelink"">&gt;&gt;31743108</a><br><span class=""quote"">&gt;19/M/Hungary</span><br><span class=""quote"">&gt;I am financially able to provide a comfortable upper-middleclass standard of living, and always seeking out new opportunities for growth.</span><br>You do know that what upper-middleclass means in hungary is pretty much piss-poor to everyone else in EU right?', 'time': 1670836066, 'resto': 31727942, 'id': 'Ii84JkNl'}, {'no': 31757581, 'now': '12/12/22(Mon)05:31:47', 'name': 'Anonymous', 'com': '<a href=""#p31757482"" class=""quotelink"">&gt;&gt;31757482</a><br>The only thing piss-poor here is your unsolicited opinion. ;)', 'time': 1670841107, 'resto': 31727942, 'id': 'ozyPcLGZ'}, {'no': 31757587, 'now': '12/12/22(Mon)05:35:06', 'name': 'Anonymous', 'com': 'Showing off my fat ass femboy ex, he’s one of those dumb left wing faggots, let’s spread his ass and abuse him. Total mommy’s boy <br><br>kik: snowbb123', 'time': 1670841306, 'resto': 31727942, 'id': 's5S+YCkM'}, {'no': 31757598, 'now': '12/12/22(Mon)05:43:28', 'name': 'Anonymous', 'com': '<a href=""#p31757482"" class=""quotelink"">&gt;&gt;31757482</a><br>local anon admits he never visited [nation] he hold a strong opinion about', 'time': 1670841808, 'resto': 31727942, 'id': 'wQTsp+X0'}, {'no': 31757681, 'now': '12/12/22(Mon)07:01:47', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Asl</span><br>23 m USA <br><span class=""quote"">&gt;kinks</span><br>Being cheated on, cucked, insulted, humiliated, rape<br><span class=""quote"">&gt;looking for</span><br>Just enjoy sharing pics of my fiancée and talking about her. Have a lot of fantasies of helping another guy rape her. Especially enjoy when guys insult her and judge her body. Enjoy anything that&#039;s violating. <br><span class=""quote"">&gt;not looking for</span><br>Down for pretty much anything desu<br><span class=""quote"">&gt;contact info</span><br>Kik: mmspc', 'time': 1670846507, 'resto': 31727942, 'id': 'guttLTok'}]",
9,31740530,,,12/04/22(Sun)17:15:00,Anonymous,"Massive cock thread, post your pussy or bussy destroyers <br><br>r8, h8 or aperci8",advaaaa,.png,726,748,242,250,1670192100360947,1670192100,G+zE2TwDCIK/vK1hTM8S6Q==,1051083,0,SPbBOo+P,,massive-cock-thread-post-your-pussy-or-bussy,112,61,1670846141,,0.0,0.0,107.0,58.0,"[{'no': 31757467, 'now': '12/12/22(Mon)03:55:01', 'name': 'Anonymous', 'com': '19yo bull here. Pretty Huuge cock. Kik ziguuum', 'time': 1670835301, 'resto': 31740530, 'id': '09gtLUts'}, {'no': 31757470, 'now': '12/12/22(Mon)03:58:50', 'name': 'Anonymous', 'com': '<a href=""#p31753698"" class=""quotelink"">&gt;&gt;31753698</a><br>Lucky them<br>No snap? &lt;/3', 'time': 1670835530, 'resto': 31740530, 'id': 'wrynxWuK'}, {'no': 31757479, 'now': '12/12/22(Mon)04:05:33', 'name': 'Anonymous', 'com': '19yo dom twink, looking for submissive guys to bully<br><br>kik: elfbuttslut', 'filename': 'pp1', 'ext': '.png', 'w': 428, 'h': 757, 'tn_w': 70, 'tn_h': 125, 'tim': 1670835933944740, 'time': 1670835933, 'md5': 'PPiwicvW3Q5QnmcvmOdtQQ==', 'fsize': 328063, 'resto': 31740530, 'id': 'I6cIug/L'}, {'no': 31757667, 'now': '12/12/22(Mon)06:40:13', 'name': 'Anonymous', 'com': 'My', 'filename': 'IMG_20221212_143851', 'ext': '.jpg', 'w': 1958, 'h': 1495, 'tn_w': 124, 'tn_h': 95, 'tim': 1670845213481839, 'time': 1670845213, 'md5': 'JIXQ8v+IA9SQNlrgusc5ag==', 'fsize': 723629, 'resto': 31740530, 'id': 'e8jLyi2G'}, {'no': 31757676, 'now': '12/12/22(Mon)06:55:41', 'name': 'Anonymous', 'com': '30 m UK, message on Kik if you like: Wazhack', 'filename': 'Snapchat-1946433273', 'ext': '.jpg', 'w': 600, 'h': 800, 'tn_w': 93, 'tn_h': 125, 'tim': 1670846141317010, 'time': 1670846141, 'md5': 'HzCmL/pwOV2yaoUOPOm4RQ==', 'fsize': 36960, 'resto': 31740530, 'id': 'djQFhMY2'}]",
